onset	duration	nwb_table	context	auditory_stim_frequency	auditory_stim_amplitude	auditory_stim_time	auditory_stim_duration	whisker_stim	whisker_stim_amplitude	whisker_stim_time	whisker_stim_duration	opto_stim	opto_stim_frequency	opto_stim_amplitude	opto_stim_start_time	opto_stim_stop_time	opto_window	opto_duration	opto_area	lick_flag	lick_time	early_lick	trial_type
11.507	2.0	trials	nogo_tone	4000.0	80.0	11.507	0.1	False				False					nolight	0.0	nan	False		False	4.0
22.627	2.0	trials	go_tone	8000.0	80.0	22.627	0.1	True	5.0	23.627	0.01	False					nolight	0.0	nan	True	25.296	False	1.0
34.027	2.0	trials	go_tone	8000.0	80.0	34.027	0.1	False				False					nolight	0.0	nan	False		False	2.0
45.069	2.0	trials	go_tone	8000.0	80.0	45.069	0.1	False				True	100.0	12.0	45.019000000000005	45.469	audio	450.0	wS2	False		False	2.0
55.867	2.0	trials	go_tone	8000.0	80.0	55.867	0.1	True	5.0	56.867	0.01	True	100.0	12.0	56.266999999999996	56.817	delay	550.0	wS2	True	58.943	False	1.0
66.692	2.0	trials	no_tone					True	5.0	67.692	0.01	True	100.0	12.0	66.642	67.092	audio	450.0	wS2	True	69.368	False	5.0
77.329	2.0	trials	go_tone	8000.0	80.0	77.329	0.1	True	5.0	78.329	0.01	False					nolight	0.0	nan	True	79.553	True	1.0
89.559	2.0	trials	go_tone	8000.0	80.0	89.559	0.1	True	5.0	90.559	0.01	False					nolight	0.0	nan	False		False	1.0
100.358	2.0	trials	go_tone	8000.0	80.0	100.358	0.1	True	5.0	101.358	0.01	False					nolight	0.0	nan	True	103.183	False	1.0
111.029	2.0	trials	nogo_tone	4000.0	80.0	111.029	0.1	True	5.0	112.029	0.01	False					nolight	0.0	nan	False		False	3.0
122.498	2.0	trials	go_tone	8000.0	80.0	122.498	0.1	False				False					nolight	0.0	nan	True	124.958	True	2.0
134.96	2.0	trials	go_tone	8000.0	80.0	134.96	0.1	False				False					nolight	0.0	nan	False		False	2.0
