onset	duration	nwb_table	context	auditory_stim_frequency	auditory_stim_amplitude	auditory_stim_time	auditory_stim_duration	whisker_stim	whisker_stim_amplitude	whisker_stim_time	whisker_stim_duration	opto_stim	opto_stim_frequency	opto_stim_amplitude	opto_stim_start_time	opto_stim_stop_time	opto_window	opto_duration	opto_area	lick_flag	lick_time	early_lick	trial_type
8.091000000000001	2.0	trials	nogo_tone	4000.0	80.0	8.091000000000001	0.1	True	5.0	9.091000000000001	0.01	False					nolight	0.0	nan	False		False	3.0
18.721	2.0	trials	go_tone	8000.0	80.0	18.721	0.1	True	5.0	19.721	0.01	False					nolight	0.0	nan	True	21.38	False	1.0
29.381	2.0	trials	go_tone	8000.0	80.0	29.381	0.1	True	5.0	30.381	0.01	False					nolight	0.0	nan	True	32.018	False	1.0
40.661	2.0	trials	go_tone	8000.0	80.0	40.661	0.1	False				False					nolight	0.0	nan	False		False	2.0
51.652	2.0	trials	no_tone					True	5.0	52.652	0.01	False					nolight	0.0	nan	True	54.316	False	5.0
78.392	2.0	trials	go_tone	8000.0	80.0	78.392	0.1	True	5.0	79.392	0.01	False					nolight	0.0	nan	True	81.112	False	1.0
89.472	2.0	trials	nogo_tone	4000.0	80.0	89.472	0.1	True	5.0	90.472	0.01	False					nolight	0.0	nan	True	92.29299999999999	False	3.0
117.003	2.0	trials	go_tone	8000.0	80.0	117.003	0.1	False				False					nolight	0.0	nan	True	119.043	True	2.0
133.053	2.0	trials	go_tone	8000.0	80.0	133.053	0.1	False				False					nolight	0.0	nan	True	135.503	True	2.0
149.503	2.0	trials	go_tone	8000.0	80.0	149.503	0.1	False				False					nolight	0.0	nan	False		False	2.0
160.13	2.0	trials	nogo_tone	4000.0	80.0	160.13	0.1	False				False					nolight	0.0	nan	False		False	4.0
171.264	2.0	trials	go_tone	8000.0	80.0	171.264	0.1	True	5.0	172.264	0.01	False					nolight	0.0	nan	True	173.928	False	1.0
182.774	2.0	trials	nogo_tone	4000.0	80.0	182.774	0.1	False				False					nolight	0.0	nan	False		False	4.0
193.854	2.0	trials	go_tone	8000.0	80.0	193.854	0.1	True	5.0	194.854	0.01	False					nolight	0.0	nan	True	196.585	False	1.0
204.875	2.0	trials	go_tone	8000.0	80.0	204.875	0.1	False				False					nolight	0.0	nan	True	207.425	True	2.0
221.435	2.0	trials	go_tone	8000.0	80.0	221.435	0.1	False				False					nolight	0.0	nan	True	223.075	True	2.0
237.085	2.0	trials	go_tone	8000.0	80.0	237.085	0.1	False				False					nolight	0.0	nan	True	239.83100000000002	False	2.0
263.745	2.0	trials	go_tone	8000.0	80.0	263.745	0.1	False				False					nolight	0.0	nan	True	266.195	True	2.0
280.206	2.0	trials	go_tone	8000.0	80.0	280.206	0.1	False				False					nolight	0.0	nan	True	283.432	False	2.0
307.206	2.0	trials	nogo_tone	4000.0	80.0	307.206	0.1	True	5.0	308.206	0.01	False					nolight	0.0	nan	True	309.957	False	3.0
364.244	2.0	trials	no_tone					True	5.0	365.244	0.01	False					nolight	0.0	nan	False		False	5.0
374.974	2.0	trials	go_tone	8000.0	80.0	374.974	0.1	False				False					nolight	0.0	nan	False		False	2.0
385.688	2.0	trials	nogo_tone	4000.0	80.0	385.688	0.1	True	5.0	386.688	0.01	False					nolight	0.0	nan	False		False	3.0
396.448	2.0	trials	no_tone					True	5.0	397.448	0.01	False					nolight	0.0	nan	True	399.147	False	5.0
423.668	2.0	trials	go_tone	8000.0	80.0	423.668	0.1	False				False					nolight	0.0	nan	True	426.389	False	2.0
450.259	2.0	trials	go_tone	8000.0	80.0	450.259	0.1	False				False					nolight	0.0	nan	True	453.184	False	2.0
477.249	2.0	trials	nogo_tone	4000.0	80.0	477.249	0.1	False				False					nolight	0.0	nan	False		False	4.0
488.38	2.0	trials	go_tone	8000.0	80.0	488.38	0.1	False				False					nolight	0.0	nan	True	491.02299999999997	False	2.0
515.46	2.0	trials	go_tone	8000.0	80.0	515.46	0.1	False				False					nolight	0.0	nan	False		False	2.0
526.79	2.0	trials	nogo_tone	4000.0	80.0	526.79	0.1	True	5.0	527.79	0.01	False					nolight	0.0	nan	False		False	3.0
537.88	2.0	trials	no_tone					True	5.0	538.88	0.01	False					nolight	0.0	nan	False		False	5.0
548.841	2.0	trials	nogo_tone	4000.0	80.0	548.841	0.1	True	5.0	549.841	0.01	False					nolight	0.0	nan	False		False	3.0
559.751	2.0	trials	go_tone	8000.0	80.0	559.751	0.1	True	5.0	560.751	0.01	False					nolight	0.0	nan	True	562.3779999999999	False	1.0
571.071	2.0	trials	no_tone					True	5.0	572.071	0.01	False					nolight	0.0	nan	False		False	5.0
582.541	2.0	trials	no_tone					True	5.0	583.541	0.01	False					nolight	0.0	nan	False		False	5.0
593.302	2.0	trials	go_tone	8000.0	80.0	593.302	0.1	False				False					nolight	0.0	nan	True	596.317	False	2.0
620.512	2.0	trials	nogo_tone	4000.0	80.0	620.512	0.1	True	5.0	621.512	0.01	False					nolight	0.0	nan	True	623.266	False	3.0
647.672	2.0	trials	nogo_tone	4000.0	80.0	647.672	0.1	True	5.0	648.672	0.01	False					nolight	0.0	nan	False		False	3.0
658.333	2.0	trials	go_tone	8000.0	80.0	658.333	0.1	True	5.0	659.333	0.01	False					nolight	0.0	nan	True	660.813	True	1.0
674.813	2.0	trials	go_tone	8000.0	80.0	674.813	0.1	True	5.0	675.813	0.01	False					nolight	0.0	nan	True	677.536	False	1.0
686.293	2.0	trials	go_tone	8000.0	80.0	686.293	0.1	True	5.0	687.293	0.01	False					nolight	0.0	nan	True	688.951	False	1.0
697.193	2.0	trials	go_tone	8000.0	80.0	697.193	0.1	False				False					nolight	0.0	nan	True	699.193	True	2.0
713.195	2.0	trials	go_tone	8000.0	80.0	713.195	0.1	False				False					nolight	0.0	nan	True	715.519	True	2.0
729.524	2.0	trials	go_tone	8000.0	80.0	729.524	0.1	False				False					nolight	0.0	nan	True	732.191	False	2.0
756.836	2.0	trials	go_tone	8000.0	80.0	756.836	0.1	True	5.0	757.836	0.01	False					nolight	0.0	nan	True	759.468	False	1.0
768.064	2.0	trials	go_tone	8000.0	80.0	768.064	0.1	True	5.0	769.064	0.01	False					nolight	0.0	nan	True	770.6809999999999	False	1.0
780.235	2.0	trials	no_tone					True	5.0	781.235	0.01	False					nolight	0.0	nan	True	782.8870000000001	False	5.0
806.925	2.0	trials	nogo_tone	4000.0	80.0	806.925	0.1	False				False					nolight	0.0	nan	False		False	4.0
818.035	2.0	trials	go_tone	8000.0	80.0	818.035	0.1	True	5.0	819.035	0.01	False					nolight	0.0	nan	True	820.717	False	1.0
829.306	2.0	trials	go_tone	8000.0	80.0	829.306	0.1	False				False					nolight	0.0	nan	True	831.6310000000001	True	2.0
845.636	2.0	trials	go_tone	8000.0	80.0	845.636	0.1	False				False					nolight	0.0	nan	True	847.976	True	2.0
861.978	2.0	trials	go_tone	8000.0	80.0	861.978	0.1	False				False					nolight	0.0	nan	True	865.236	False	2.0
888.807	2.0	trials	nogo_tone	4000.0	80.0	888.807	0.1	True	5.0	889.807	0.01	False					nolight	0.0	nan	True	891.523	False	3.0
916.047	2.0	trials	nogo_tone	4000.0	80.0	916.047	0.1	True	5.0	917.047	0.01	False					nolight	0.0	nan	False		False	3.0
926.657	2.0	trials	no_tone					True	5.0	927.657	0.01	False					nolight	0.0	nan	False		False	5.0
937.923	2.0	trials	nogo_tone	4000.0	80.0	937.923	0.1	False				False					nolight	0.0	nan	False		False	4.0
949.288	2.0	trials	no_tone					True	5.0	950.288	0.01	False					nolight	0.0	nan	False		False	5.0
960.488	2.0	trials	go_tone	8000.0	80.0	960.488	0.1	False				False					nolight	0.0	nan	True	963.2520000000001	False	2.0
987.078	2.0	trials	no_tone					True	5.0	988.078	0.01	False					nolight	0.0	nan	False		False	5.0
997.799	2.0	trials	nogo_tone	4000.0	80.0	997.799	0.1	False				False					nolight	0.0	nan	False		False	4.0
1008.709	2.0	trials	go_tone	8000.0	80.0	1008.709	0.1	False				False					nolight	0.0	nan	False		False	2.0
1019.929	2.0	trials	nogo_tone	4000.0	80.0	1019.929	0.1	True	5.0	1020.929	0.01	False					nolight	0.0	nan	True	1022.65	False	3.0
1046.919	2.0	trials	go_tone	8000.0	80.0	1046.919	0.1	False				False					nolight	0.0	nan	True	1049.603	False	2.0
1073.87	2.0	trials	go_tone	8000.0	80.0	1073.87	0.1	False				False					nolight	0.0	nan	True	1076.513	False	2.0
1100.64	2.0	trials	no_tone					True	5.0	1101.64	0.01	False					nolight	0.0	nan	True	1104.005	False	5.0
1127.491	2.0	trials	no_tone					True	5.0	1128.491	0.01	False					nolight	0.0	nan	False		False	5.0
1138.817	2.0	trials	nogo_tone	4000.0	80.0	1138.817	0.1	True	5.0	1139.817	0.01	False					nolight	0.0	nan	False		False	3.0
1150.161	2.0	trials	go_tone	8000.0	80.0	1150.161	0.1	True	5.0	1151.161	0.01	False					nolight	0.0	nan	True	1152.651	True	1.0
1166.651	2.0	trials	go_tone	8000.0	80.0	1166.651	0.1	True	5.0	1167.651	0.01	False					nolight	0.0	nan	False		False	1.0
1177.782	2.0	trials	go_tone	8000.0	80.0	1177.782	0.1	False				False					nolight	0.0	nan	True	1180.635	False	2.0
1205.183	2.0	trials	go_tone	8000.0	80.0	1205.183	0.1	False				False					nolight	0.0	nan	True	1207.753	False	2.0
1232.483	2.0	trials	go_tone	8000.0	80.0	1232.483	0.1	False				False					nolight	0.0	nan	True	1235.623	False	2.0
1259.053	2.0	trials	go_tone	8000.0	80.0	1259.053	0.1	False				False					nolight	0.0	nan	False		False	2.0
1269.617	2.0	trials	no_tone					True	5.0	1270.617	0.01	False					nolight	0.0	nan	False		False	5.0
1280.984	2.0	trials	nogo_tone	4000.0	80.0	1280.984	0.1	False				False					nolight	0.0	nan	False		False	4.0
1292.114	2.0	trials	go_tone	8000.0	80.0	1292.114	0.1	True	5.0	1293.114	0.01	False					nolight	0.0	nan	True	1294.785	False	1.0
1303.604	2.0	trials	go_tone	8000.0	80.0	1303.604	0.1	False				False					nolight	0.0	nan	False		False	2.0
1314.874	2.0	trials	go_tone	8000.0	80.0	1314.874	0.1	True	5.0	1315.874	0.01	False					nolight	0.0	nan	True	1316.905	True	1.0
1330.914	2.0	trials	go_tone	8000.0	80.0	1330.914	0.1	True	5.0	1331.914	0.01	False					nolight	0.0	nan	True	1332.751	True	1.0
1346.755	2.0	trials	go_tone	8000.0	80.0	1346.755	0.1	True	5.0	1347.755	0.01	False					nolight	0.0	nan	False		False	1.0
1357.725	2.0	trials	go_tone	8000.0	80.0	1357.725	0.1	False				False					nolight	0.0	nan	True	1360.221	True	2.0
1374.225	2.0	trials	go_tone	8000.0	80.0	1374.225	0.1	False				False					nolight	0.0	nan	False		False	2.0
1385.716	2.0	trials	go_tone	8000.0	80.0	1385.716	0.1	True	5.0	1386.716	0.01	False					nolight	0.0	nan	True	1388.367	False	1.0
1396.416	2.0	trials	go_tone	8000.0	80.0	1396.416	0.1	False				False					nolight	0.0	nan	True	1398.906	True	2.0
1412.916	2.0	trials	go_tone	8000.0	80.0	1412.916	0.1	False				False					nolight	0.0	nan	False		False	2.0
1423.746	2.0	trials	nogo_tone	4000.0	80.0	1423.746	0.1	True	5.0	1424.746	0.01	False					nolight	0.0	nan	False		False	3.0
1434.356	2.0	trials	go_tone	8000.0	80.0	1434.356	0.1	False				False					nolight	0.0	nan	False		False	2.0
1445.476	2.0	trials	no_tone					True	5.0	1446.476	0.01	False					nolight	0.0	nan	True	1448.171	False	5.0
1472.417	2.0	trials	nogo_tone	4000.0	80.0	1472.417	0.1	False				False					nolight	0.0	nan	False		False	4.0
1483.427	2.0	trials	nogo_tone	4000.0	80.0	1483.427	0.1	True	5.0	1484.427	0.01	False					nolight	0.0	nan	False		False	3.0
1494.928	2.0	trials	go_tone	8000.0	80.0	1494.928	0.1	False				False					nolight	0.0	nan	False		False	2.0
1505.588	2.0	trials	go_tone	8000.0	80.0	1505.588	0.1	True	5.0	1506.588	0.01	False					nolight	0.0	nan	True	1508.54	False	1.0
1516.298	2.0	trials	go_tone	8000.0	80.0	1516.298	0.1	True	5.0	1517.298	0.01	False					nolight	0.0	nan	True	1518.934	False	1.0
1531.288	2.0	trials	go_tone	8000.0	80.0	1531.288	0.1	False				False					nolight	0.0	nan	False		False	2.0
1542.689	2.0	trials	nogo_tone	4000.0	80.0	1542.689	0.1	True	5.0	1543.689	0.01	False					nolight	0.0	nan	False		False	3.0
1554.079	2.0	trials	no_tone					True	5.0	1555.079	0.01	False					nolight	0.0	nan	False		False	5.0
1564.919	2.0	trials	go_tone	8000.0	80.0	1564.919	0.1	True	5.0	1565.919	0.01	False					nolight	0.0	nan	True	1567.4720000000002	False	1.0
1576.549	2.0	trials	nogo_tone	4000.0	80.0	1576.549	0.1	True	5.0	1577.549	0.01	False					nolight	0.0	nan	False		False	3.0
1587.899	2.0	trials	nogo_tone	4000.0	80.0	1587.899	0.1	True	5.0	1588.899	0.01	False					nolight	0.0	nan	False		False	3.0
1598.539	2.0	trials	nogo_tone	4000.0	80.0	1598.539	0.1	True	5.0	1599.539	0.01	False					nolight	0.0	nan	False		False	3.0
1609.103	2.0	trials	go_tone	8000.0	80.0	1609.103	0.1	False				False					nolight	0.0	nan	True	1611.925	False	2.0
1636.21	2.0	trials	go_tone	8000.0	80.0	1636.21	0.1	False				False					nolight	0.0	nan	True	1638.74	True	2.0
1652.75	2.0	trials	go_tone	8000.0	80.0	1652.75	0.1	False				False					nolight	0.0	nan	False		False	2.0
1663.46	2.0	trials	go_tone	8000.0	80.0	1663.46	0.1	False				False					nolight	0.0	nan	True	1666.193	False	2.0
1690.401	2.0	trials	nogo_tone	4000.0	80.0	1690.401	0.1	False				False					nolight	0.0	nan	False		False	4.0
1700.971	2.0	trials	go_tone	8000.0	80.0	1700.971	0.1	False				False					nolight	0.0	nan	True	1703.331	True	2.0
1740.712	2.0	trials	go_tone	8000.0	80.0	1740.712	0.1	False				False					nolight	0.0	nan	False		False	2.0
1751.713	2.0	trials	nogo_tone	4000.0	80.0	1751.713	0.1	False				False					nolight	0.0	nan	False		False	4.0
1762.782	2.0	trials	go_tone	8000.0	80.0	1762.782	0.1	True	5.0	1763.782	0.01	False					nolight	0.0	nan	True	1765.504	False	1.0
1773.952	2.0	trials	go_tone	8000.0	80.0	1773.952	0.1	False				False					nolight	0.0	nan	True	1776.492	True	2.0
1791.483	2.0	trials	go_tone	8000.0	80.0	1791.483	0.1	False				False					nolight	0.0	nan	True	1794.626	False	2.0
1819.943	2.0	trials	no_tone					True	5.0	1820.943	0.01	False					nolight	0.0	nan	True	1822.72	False	5.0
1846.694	2.0	trials	go_tone	8000.0	80.0	1846.694	0.1	True	5.0	1847.694	0.01	False					nolight	0.0	nan	True	1849.52	False	1.0
1858.214	2.0	trials	nogo_tone	4000.0	80.0	1858.214	0.1	True	5.0	1859.214	0.01	False					nolight	0.0	nan	True	1859.3139999999999	True	3.0
1873.314	2.0	trials	nogo_tone	4000.0	80.0	1873.314	0.1	True	5.0	1874.314	0.01	False					nolight	0.0	nan	False		False	3.0
1884.474	2.0	trials	go_tone	8000.0	80.0	1884.474	0.1	False				False					nolight	0.0	nan	True	1885.724	True	2.0
1899.725	2.0	trials	go_tone	8000.0	80.0	1899.725	0.1	False				False					nolight	0.0	nan	True	1902.0849999999998	True	2.0
1916.095	2.0	trials	go_tone	8000.0	80.0	1916.095	0.1	False				False					nolight	0.0	nan	True	1918.865	False	2.0
1942.849	2.0	trials	go_tone	8000.0	80.0	1942.849	0.1	True	5.0	1943.849	0.01	False					nolight	0.0	nan	True	1945.668	False	1.0
1953.509	2.0	trials	go_tone	8000.0	80.0	1953.509	0.1	False				False					nolight	0.0	nan	True	1955.837	True	2.0
1969.846	2.0	trials	go_tone	8000.0	80.0	1969.846	0.1	False				False					nolight	0.0	nan	True	1972.379	True	2.0
1986.386	2.0	trials	go_tone	8000.0	80.0	1986.386	0.1	False				False					nolight	0.0	nan	True	1988.826	True	2.0
2002.837	2.0	trials	go_tone	8000.0	80.0	2002.837	0.1	False				False					nolight	0.0	nan	False		False	2.0
2013.487	2.0	trials	go_tone	8000.0	80.0	2013.487	0.1	False				False					nolight	0.0	nan	True	2015.9370000000001	True	2.0
2029.937	2.0	trials	go_tone	8000.0	80.0	2029.937	0.1	False				False					nolight	0.0	nan	True	2032.062	True	2.0
2046.067	2.0	trials	go_tone	8000.0	80.0	2046.067	0.1	False				False					nolight	0.0	nan	True	2048.751	False	2.0
2073.568	2.0	trials	nogo_tone	4000.0	80.0	2073.568	0.1	True	5.0	2074.568	0.01	False					nolight	0.0	nan	False		False	3.0
2084.96	2.0	trials	nogo_tone	4000.0	80.0	2084.96	0.1	True	5.0	2085.96	0.01	False					nolight	0.0	nan	False		False	3.0
2095.948	2.0	trials	go_tone	8000.0	80.0	2095.948	0.1	True	5.0	2096.948	0.01	False					nolight	0.0	nan	True	2098.651	False	1.0
2107.448	2.0	trials	go_tone	8000.0	80.0	2107.448	0.1	False				False					nolight	0.0	nan	True	2109.7729999999997	True	2.0
2123.779	2.0	trials	go_tone	8000.0	80.0	2123.779	0.1	False				False					nolight	0.0	nan	True	2126.33	False	2.0
2150.701	2.0	trials	nogo_tone	4000.0	80.0	2150.701	0.1	True	5.0	2151.701	0.01	False					nolight	0.0	nan	True	2153.42	False	3.0
2177.35	2.0	trials	nogo_tone	4000.0	80.0	2177.35	0.1	True	5.0	2178.35	0.01	False					nolight	0.0	nan	True	2179.999	False	3.0
2203.98	2.0	trials	no_tone					True	5.0	2204.98	0.01	False					nolight	0.0	nan	False		False	5.0
2215.496	2.0	trials	nogo_tone	4000.0	80.0	2215.496	0.1	False				False					nolight	0.0	nan	False		False	4.0
2227.0	2.0	trials	go_tone	8000.0	80.0	2227.0	0.1	False				False					nolight	0.0	nan	True	2229.647	False	2.0
2253.711	2.0	trials	go_tone	8000.0	80.0	2253.711	0.1	False				False					nolight	0.0	nan	False		False	2.0
2264.331	2.0	trials	nogo_tone	4000.0	80.0	2264.331	0.1	False				False					nolight	0.0	nan	False		False	4.0
2275.701	2.0	trials	no_tone					True	5.0	2276.701	0.01	False					nolight	0.0	nan	False		False	5.0
2286.971	2.0	trials	go_tone	8000.0	80.0	2286.971	0.1	True	5.0	2287.971	0.01	False					nolight	0.0	nan	True	2290.059	False	1.0
2298.292	2.0	trials	nogo_tone	4000.0	80.0	2298.292	0.1	True	5.0	2299.292	0.01	False					nolight	0.0	nan	True	2300.94	False	3.0
2325.381	2.0	trials	go_tone	8000.0	80.0	2325.381	0.1	False				False					nolight	0.0	nan	True	2327.643	True	2.0
2341.642	2.0	trials	go_tone	8000.0	80.0	2341.642	0.1	False				False					nolight	0.0	nan	True	2344.0919999999996	True	2.0
2358.093	2.0	trials	go_tone	8000.0	80.0	2358.093	0.1	False				False					nolight	0.0	nan	True	2360.383	True	2.0
2374.385	2.0	trials	go_tone	8000.0	80.0	2374.385	0.1	False				False					nolight	0.0	nan	False		False	2.0
2385.543	2.0	trials	go_tone	8000.0	80.0	2385.543	0.1	False				False					nolight	0.0	nan	False		False	2.0
2396.423	2.0	trials	go_tone	8000.0	80.0	2396.423	0.1	True	5.0	2397.423	0.01	False					nolight	0.0	nan	True	2399.0409999999997	False	1.0
2407.304	2.0	trials	go_tone	8000.0	80.0	2407.304	0.1	False				False					nolight	0.0	nan	True	2409.862	False	2.0
2434.674	2.0	trials	go_tone	8000.0	80.0	2434.674	0.1	False				False					nolight	0.0	nan	False		False	2.0
2445.884	2.0	trials	go_tone	8000.0	80.0	2445.884	0.1	False				False					nolight	0.0	nan	True	2448.054	True	2.0
2462.055	2.0	trials	go_tone	8000.0	80.0	2462.055	0.1	False				False					nolight	0.0	nan	True	2464.9469999999997	False	2.0
2489.335	2.0	trials	go_tone	8000.0	80.0	2489.335	0.1	False				False					nolight	0.0	nan	True	2491.906	False	2.0
2516.336	2.0	trials	nogo_tone	4000.0	80.0	2516.336	0.1	False				False					nolight	0.0	nan	False		False	4.0
2527.512	2.0	trials	go_tone	8000.0	80.0	2527.512	0.1	False				False					nolight	0.0	nan	True	2530.6040000000003	False	2.0
2554.636	2.0	trials	nogo_tone	4000.0	80.0	2554.636	0.1	True	5.0	2555.636	0.01	False					nolight	0.0	nan	True	2557.442	False	3.0
2581.357	2.0	trials	go_tone	8000.0	80.0	2581.357	0.1	True	5.0	2582.357	0.01	False					nolight	0.0	nan	True	2583.797	True	1.0
2597.807	2.0	trials	go_tone	8000.0	80.0	2597.807	0.1	True	5.0	2598.807	0.01	False					nolight	0.0	nan	True	2600.0319999999997	True	1.0
2614.038	2.0	trials	go_tone	8000.0	80.0	2614.038	0.1	True	5.0	2615.038	0.01	False					nolight	0.0	nan	True	2616.829	False	1.0
2625.094	2.0	trials	go_tone	8000.0	80.0	2625.094	0.1	False				False					nolight	0.0	nan	True	2627.319	True	2.0
2641.328	2.0	trials	go_tone	8000.0	80.0	2641.328	0.1	False				False					nolight	0.0	nan	False		False	2.0
2652.298	2.0	trials	go_tone	8000.0	80.0	2652.298	0.1	False				False					nolight	0.0	nan	True	2654.2279999999996	True	2.0
2668.239	2.0	trials	go_tone	8000.0	80.0	2668.239	0.1	False				False					nolight	0.0	nan	False		False	2.0
2679.269	2.0	trials	go_tone	8000.0	80.0	2679.269	0.1	False				False					nolight	0.0	nan	False		False	2.0
2689.929	2.0	trials	go_tone	8000.0	80.0	2689.929	0.1	True	5.0	2690.929	0.01	False					nolight	0.0	nan	True	2692.547	False	1.0
2701.069	2.0	trials	go_tone	8000.0	80.0	2701.069	0.1	False				False					nolight	0.0	nan	False		False	2.0
2712.039	2.0	trials	nogo_tone	4000.0	80.0	2712.039	0.1	True	5.0	2713.039	0.01	False					nolight	0.0	nan	False		False	3.0
2723.459	2.0	trials	go_tone	8000.0	80.0	2723.459	0.1	False				False					nolight	0.0	nan	True	2726.0919999999996	False	2.0
2750.32	2.0	trials	nogo_tone	4000.0	80.0	2750.32	0.1	False				False					nolight	0.0	nan	False		False	4.0
2933.837	2.0	trials	go_tone	8000.0	80.0	2933.837	0.1	False				False					nolight	0.0	nan	False		False	2.0
2945.013	2.0	trials	go_tone	8000.0	80.0	2945.013	0.1	True	5.0	2946.013	0.01	False					nolight	0.0	nan	True	2947.9069999999997	False	1.0
2959.423	2.0	trials	nogo_tone	4000.0	80.0	2959.423	0.1	True	5.0	2960.423	0.01	False					nolight	0.0	nan	False		False	3.0
2970.634	2.0	trials	go_tone	8000.0	80.0	2970.634	0.1	False				False					nolight	0.0	nan	True	2973.165	True	2.0
2989.844	2.0	trials	go_tone	8000.0	80.0	2989.844	0.1	False				False					nolight	0.0	nan	False		False	2.0
3000.604	2.0	trials	no_tone					True	5.0	3001.604	0.01	False					nolight	0.0	nan	False		False	5.0
3011.804	2.0	trials	go_tone	8000.0	80.0	3011.804	0.1	True	5.0	3012.804	0.01	False					nolight	0.0	nan	True	3014.592	False	1.0
3022.515	2.0	trials	no_tone					True	5.0	3023.515	0.01	False					nolight	0.0	nan	False		False	5.0
3127.186	2.0	trials	go_tone	8000.0	80.0	3127.186	0.1	False				False					nolight	0.0	nan	True	3130.0260000000003	False	2.0
3154.147	2.0	trials	go_tone	8000.0	80.0	3154.147	0.1	True	5.0	3155.147	0.01	False					nolight	0.0	nan	True	3156.994	False	1.0
3164.937	2.0	trials	go_tone	8000.0	80.0	3164.937	0.1	True	5.0	3165.937	0.01	False					nolight	0.0	nan	True	3167.562	False	1.0
3176.058	2.0	trials	nogo_tone	4000.0	80.0	3176.058	0.1	False				False					nolight	0.0	nan	False		False	4.0
3187.068	2.0	trials	go_tone	8000.0	80.0	3187.068	0.1	False				False					nolight	0.0	nan	True	3189.193	True	2.0
3203.204	2.0	trials	go_tone	8000.0	80.0	3203.204	0.1	False				False					nolight	0.0	nan	True	3205.76	False	2.0
3230.498	2.0	trials	no_tone					True	5.0	3231.498	0.01	False					nolight	0.0	nan	False		False	5.0
3241.248	2.0	trials	nogo_tone	4000.0	80.0	3241.248	0.1	True	5.0	3242.248	0.01	False					nolight	0.0	nan	False		False	3.0
3252.359	2.0	trials	nogo_tone	4000.0	80.0	3252.359	0.1	True	5.0	3253.359	0.01	False					nolight	0.0	nan	False		False	3.0
3263.669	2.0	trials	nogo_tone	4000.0	80.0	3263.669	0.1	True	5.0	3264.669	0.01	False					nolight	0.0	nan	False		False	3.0
3274.699	2.0	trials	go_tone	8000.0	80.0	3274.699	0.1	False				False					nolight	0.0	nan	True	3277.189	True	2.0
3291.189	2.0	trials	go_tone	8000.0	80.0	3291.189	0.1	False				False					nolight	0.0	nan	True	3293.6589999999997	True	2.0
3307.67	2.0	trials	go_tone	8000.0	80.0	3307.67	0.1	False				False					nolight	0.0	nan	True	3310.348	False	2.0
3334.29	2.0	trials	go_tone	8000.0	80.0	3334.29	0.1	True	5.0	3335.29	0.01	False					nolight	0.0	nan	True	3337.079	False	1.0
3345.63	2.0	trials	no_tone					True	5.0	3346.63	0.01	False					nolight	0.0	nan	True	3348.273	False	5.0
3372.547	2.0	trials	go_tone	8000.0	80.0	3372.547	0.1	False				False					nolight	0.0	nan	True	3375.686	False	2.0
3399.711	2.0	trials	no_tone					True	5.0	3400.711	0.01	False					nolight	0.0	nan	True	3402.5089999999996	False	5.0
3426.572	2.0	trials	nogo_tone	4000.0	80.0	3426.572	0.1	True	5.0	3427.572	0.01	False					nolight	0.0	nan	False		False	3.0
3438.032	2.0	trials	nogo_tone	4000.0	80.0	3438.032	0.1	False				False					nolight	0.0	nan	False		False	4.0
3452.234	2.0	trials	nogo_tone	4000.0	80.0	3452.234	0.1	False				False					nolight	0.0	nan	False		False	4.0
3463.542	2.0	trials	go_tone	8000.0	80.0	3463.542	0.1	False				True	100.0	12.0	3463.942	3464.4919999999997	delay	550.0	wS2	True	3466.41	False	2.0
3490.473	2.0	trials	go_tone	8000.0	80.0	3490.473	0.1	True	5.0	3491.473	0.01	False					nolight	0.0	nan	True	3493.1459999999997	False	1.0
3501.903	2.0	trials	go_tone	8000.0	80.0	3501.903	0.1	False				True	100.0	12.0	3502.303	3502.8529999999996	delay	550.0	wS2	True	3504.6429999999996	False	2.0
3529.168	2.0	trials	go_tone	8000.0	80.0	3529.168	0.1	True	5.0	3530.168	0.01	True	100.0	12.0	3529.568	3530.118	delay	550.0	wS2	True	3531.891	False	1.0
3539.784	2.0	trials	go_tone	8000.0	80.0	3539.784	0.1	False				False					nolight	0.0	nan	False		False	2.0
3550.694	2.0	trials	nogo_tone	4000.0	80.0	3550.694	0.1	True	5.0	3551.694	0.01	False					nolight	0.0	nan	True	3552.324	True	3.0
3566.334	2.0	trials	nogo_tone	4000.0	80.0	3566.334	0.1	True	5.0	3567.334	0.01	False					nolight	0.0	nan	True	3569.154	False	3.0
3593.725	2.0	trials	nogo_tone	4000.0	80.0	3593.725	0.1	True	5.0	3594.725	0.01	False					nolight	0.0	nan	False		False	3.0
3604.625	2.0	trials	no_tone					True	5.0	3605.625	0.01	True	100.0	12.0	3605.025	3605.575	delay	550.0	wS2	False		False	5.0
3615.695	2.0	trials	go_tone	8000.0	80.0	3615.695	0.1	False				False					nolight	0.0	nan	True	3617.985	True	2.0
3631.985	2.0	trials	go_tone	8000.0	80.0	3631.985	0.1	False				False					nolight	0.0	nan	False		False	2.0
3642.986	2.0	trials	go_tone	8000.0	80.0	3642.986	0.1	False				True	100.0	12.0	3643.386	3643.9359999999997	delay	550.0	wS2	False		False	2.0
