onset	duration	nwb_table	context	auditory_stim_frequency	auditory_stim_amplitude	auditory_stim_time	auditory_stim_duration	whisker_stim	whisker_stim_amplitude	whisker_stim_time	whisker_stim_duration	opto_stim	opto_stim_frequency	opto_stim_amplitude	opto_stim_start_time	opto_stim_stop_time	opto_window	opto_duration	opto_area	lick_flag	lick_time	early_lick	trial_type
13.469	2.0	trials	no_tone					True	5.0	14.469	0.01	False					nolight	0.0	nan	True	16.262999999999998	False	5.0
24.119	2.0	trials	nogo_tone	4000.0	80.0	24.119	0.1	False				False					nolight	0.0	nan	False		False	4.0
35.069	2.0	trials	nogo_tone	4000.0	80.0	35.069	0.1	True	5.0	36.069	0.01	True	100.0	12.0	35.469	36.019000000000005	delay	550.0	A1	False		False	3.0
45.959	2.0	trials	nogo_tone	4000.0	80.0	45.959	0.1	False				False					nolight	0.0	nan	False		False	4.0
56.86	2.0	trials	go_tone	8000.0	80.0	56.86	0.1	False				False					nolight	0.0	nan	True	59.059	True	2.0
69.059	2.0	trials	go_tone	8000.0	80.0	69.059	0.1	False				False					nolight	0.0	nan	True	71.604	False	2.0
80.41	2.0	trials	nogo_tone	4000.0	80.0	80.41	0.1	True	5.0	81.41	0.01	False					nolight	0.0	nan	False		False	3.0
91.01	2.0	trials	nogo_tone	4000.0	80.0	91.01	0.1	True	5.0	92.01	0.01	True	100.0	12.0	90.96000000000001	91.41000000000001	audio	450.0	A1	False		False	3.0
101.9	2.0	trials	no_tone					True	5.0	102.9	0.01	False					nolight	0.0	nan	True	105.018	False	5.0
112.822	2.0	trials	go_tone	8000.0	80.0	112.822	0.1	False				False					nolight	0.0	nan	False		False	2.0
123.93	2.0	trials	no_tone					True	5.0	124.93	0.01	False					nolight	0.0	nan	False		False	5.0
134.901	2.0	trials	nogo_tone	4000.0	80.0	134.901	0.1	False				False					nolight	0.0	nan	False		False	4.0
146.051	2.0	trials	go_tone	8000.0	80.0	146.051	0.1	True	5.0	147.051	0.01	True	100.0	12.0	146.00099999999998	146.451	audio	450.0	A1	True	148.773	False	1.0
157.601	2.0	trials	go_tone	8000.0	80.0	157.601	0.1	False				False					nolight	0.0	nan	False		False	2.0
169.521	2.0	trials	go_tone	8000.0	80.0	169.521	0.1	False				True	100.0	12.0	170.47099999999998	170.821	whisker	350.0	A1	True	172.73499999999999	False	2.0
180.951	2.0	trials	go_tone	8000.0	80.0	180.951	0.1	True	5.0	181.951	0.01	False					nolight	0.0	nan	True	183.501	True	1.0
193.511	2.0	trials	go_tone	8000.0	80.0	193.511	0.1	True	5.0	194.511	0.01	False					nolight	0.0	nan	True	195.661	True	1.0
205.665	2.0	trials	go_tone	8000.0	80.0	205.665	0.1	True	5.0	206.665	0.01	False					nolight	0.0	nan	True	207.822	True	1.0
217.822	2.0	trials	go_tone	8000.0	80.0	217.822	0.1	True	5.0	218.822	0.01	False					nolight	0.0	nan	True	221.03900000000002	False	1.0
229.272	2.0	trials	go_tone	8000.0	80.0	229.272	0.1	True	5.0	230.272	0.01	False					nolight	0.0	nan	True	232.147	False	1.0
272.495	2.0	trials	nogo_tone	4000.0	80.0	272.495	0.1	False				False					nolight	0.0	nan	False		False	4.0
283.577	2.0	trials	no_tone					True	5.0	284.577	0.01	True	100.0	12.0	284.527	284.877	whisker	350.0	A1	False		False	5.0
294.294	2.0	trials	go_tone	8000.0	80.0	294.294	0.1	False				False					nolight	0.0	nan	True	296.764	True	2.0
306.764	2.0	trials	go_tone	8000.0	80.0	306.764	0.1	False				False					nolight	0.0	nan	True	308.80400000000003	True	2.0
318.806	2.0	trials	go_tone	8000.0	80.0	318.806	0.1	False				False					nolight	0.0	nan	True	320.99399999999997	True	2.0
330.994	2.0	trials	go_tone	8000.0	80.0	330.994	0.1	False				False					nolight	0.0	nan	True	333.435	True	2.0
343.449	2.0	trials	go_tone	8000.0	80.0	343.449	0.1	False				False					nolight	0.0	nan	True	345.773	True	2.0
355.774	2.0	trials	go_tone	8000.0	80.0	355.774	0.1	False				False					nolight	0.0	nan	True	358.497	False	2.0
366.755	2.0	trials	go_tone	8000.0	80.0	366.755	0.1	True	5.0	367.755	0.01	True	100.0	12.0	367.155	367.705	delay	550.0	A1	True	369.902	False	1.0
377.415	2.0	trials	no_tone					True	5.0	378.415	0.01	False					nolight	0.0	nan	True	380.44100000000003	False	5.0
388.035	2.0	trials	no_tone					True	5.0	389.035	0.01	False					nolight	0.0	nan	True	390.89500000000004	False	5.0
398.725	2.0	trials	nogo_tone	4000.0	80.0	398.725	0.1	True	5.0	399.725	0.01	False					nolight	0.0	nan	False		False	3.0
409.777	2.0	trials	go_tone	8000.0	80.0	409.777	0.1	False				False					nolight	0.0	nan	False		False	2.0
420.847	2.0	trials	nogo_tone	4000.0	80.0	420.847	0.1	True	5.0	421.847	0.01	False					nolight	0.0	nan	False		False	3.0
432.188	2.0	trials	go_tone	8000.0	80.0	432.188	0.1	True	5.0	433.188	0.01	False					nolight	0.0	nan	True	434.336	True	1.0
444.336	2.0	trials	go_tone	8000.0	80.0	444.336	0.1	True	5.0	445.336	0.01	False					nolight	0.0	nan	True	447.593	False	1.0
456.376	2.0	trials	go_tone	8000.0	80.0	456.376	0.1	True	5.0	457.376	0.01	False					nolight	0.0	nan	True	459.471	False	1.0
467.827	2.0	trials	nogo_tone	4000.0	80.0	467.827	0.1	False				False					nolight	0.0	nan	False		False	4.0
479.286	2.0	trials	no_tone					True	5.0	480.286	0.01	True	100.0	12.0	479.686	480.236	delay	550.0	A1	False		False	5.0
489.937	2.0	trials	go_tone	8000.0	80.0	489.937	0.1	False				False					nolight	0.0	nan	True	492.48400000000004	False	2.0
500.517	2.0	trials	nogo_tone	4000.0	80.0	500.517	0.1	True	5.0	501.517	0.01	True	100.0	12.0	501.467	501.817	whisker	350.0	A1	False		False	3.0
511.427	2.0	trials	nogo_tone	4000.0	80.0	511.427	0.1	False				True	100.0	12.0	511.377	511.827	audio	450.0	A1	False		False	4.0
522.747	2.0	trials	go_tone	8000.0	80.0	522.747	0.1	False				True	100.0	12.0	522.697	523.1469999999999	audio	450.0	A1	False		False	2.0
533.317	2.0	trials	nogo_tone	4000.0	80.0	533.317	0.1	True	5.0	534.317	0.01	False					nolight	0.0	nan	False		False	3.0
544.707	2.0	trials	nogo_tone	4000.0	80.0	544.707	0.1	True	5.0	545.707	0.01	False					nolight	0.0	nan	False		False	3.0
555.548	2.0	trials	nogo_tone	4000.0	80.0	555.548	0.1	False				False					nolight	0.0	nan	False		False	4.0
566.188	2.0	trials	go_tone	8000.0	80.0	566.188	0.1	False				True	100.0	12.0	566.588	567.138	delay	550.0	A1	False		False	2.0
576.988	2.0	trials	nogo_tone	4000.0	80.0	576.988	0.1	False				True	100.0	12.0	577.9380000000001	578.288	whisker	350.0	A1	False		False	4.0
