onset	duration	nwb_table	context	auditory_stim_frequency	auditory_stim_amplitude	auditory_stim_time	auditory_stim_duration	whisker_stim	whisker_stim_amplitude	whisker_stim_time	whisker_stim_duration	opto_stim	opto_stim_frequency	opto_stim_amplitude	opto_stim_start_time	opto_stim_stop_time	lick_flag	lick_time	early_lick	trial_type
28.305147	2.0	trials	go_tone	4000.0	80.0	28.305147	0.1	False				False	0.0	0.0	0.0	0.0	False		False	2.0
54.894915	2.0	trials	no_tone					True	7.0	55.897012	0.01	False	0.0	0.0	0.0	0.0	True	56.215914999999995	False	5.0
66.414943	2.0	trials	nogo_tone	8000.0	80.0	66.414943	0.1	True	7.0		0.01	False	0.0	0.0	0.0	0.0	True	67.36694299999999	True	3.0
78.875261	2.0	trials	nogo_tone	8000.0	80.0	78.875261	0.1	True	7.0	79.877358	0.01	False	0.0	0.0	0.0	0.0	True	80.171261	False	3.0
90.145397	2.0	trials	nogo_tone	8000.0	80.0	90.145397	0.1	True	7.0	91.147568	0.01	False	0.0	0.0	0.0	0.0	True	91.479397	False	3.0
101.065465	2.0	trials	go_tone	4000.0	80.0	101.065465	0.1	True	7.0	102.067586	0.01	False	0.0	0.0	0.0	0.0	True	102.285465	False	1.0
111.925448	2.0	trials	go_tone	4000.0	80.0	111.925448	0.1	False				False	0.0	0.0	0.0	0.0	False		False	2.0
122.945566	2.0	trials	go_tone	4000.0	80.0	122.945566	0.1	False				False	0.0	0.0	0.0	0.0	False		False	2.0
133.616448	2.0	trials	nogo_tone	8000.0	80.0	133.616448	0.1	True	7.0	134.618579	0.01	False	0.0	0.0	0.0	0.0	False		False	3.0
144.828068	2.0	trials	nogo_tone	8000.0	80.0	144.828068	0.1	True	7.0	145.830165	0.01	False	0.0	0.0	0.0	0.0	True	146.095068	False	3.0
155.685852	2.0	trials	no_tone					True	7.0	156.687949	0.01	False	0.0	0.0	0.0	0.0	False		False	5.0
166.535785	2.0	trials	no_tone					True	7.0	167.537916	0.01	False	0.0	0.0	0.0	0.0	True	167.775785	False	5.0
177.656353	2.0	trials	no_tone					True	7.0	178.65845	0.01	False	0.0	0.0	0.0	0.0	False		False	5.0
188.896339	2.0	trials	go_tone	4000.0	80.0	188.896339	0.1	True	7.0	189.89847	0.01	False	0.0	0.0	0.0	0.0	True	190.063339	False	1.0
200.278159	2.0	trials	nogo_tone	8000.0	80.0	200.278159	0.1	True	7.0	201.280249	0.01	False	0.0	0.0	0.0	0.0	True	201.500159	False	3.0
211.776388	2.0	trials	go_tone	4000.0	80.0	211.776388	0.1	True	7.0	212.778518	0.01	False	0.0	0.0	0.0	0.0	False		False	1.0
222.956507	2.0	trials	go_tone	4000.0	80.0	222.956507	0.1	False				False	0.0	0.0	0.0	0.0	False		False	2.0
233.666589	2.0	trials	nogo_tone	8000.0	80.0	233.666589	0.1	True	7.0	234.66872	0.01	False	0.0	0.0	0.0	0.0	False		False	3.0
244.236681	2.0	trials	go_tone	4000.0	80.0	244.236681	0.1	True	7.0	245.238802	0.01	False	0.0	0.0	0.0	0.0	True	245.45968100000002	False	1.0
255.337049	1.9999999999999716	trials	no_tone					True	7.0	256.339171	0.01	False	0.0	0.0	0.0	0.0	True	256.566049	False	5.0
266.78706	2.0	trials	nogo_tone	8000.0	80.0	266.78706	0.1	True	7.0	267.789157	0.01	False	0.0	0.0	0.0	0.0	True	267.97506	False	3.0
278.037146	2.0	trials	go_tone	4000.0	80.0	278.037146	0.1	True	7.0	279.039268	0.01	False	0.0	0.0	0.0	0.0	True	279.356146	False	1.0
289.367083	2.0	trials	nogo_tone	8000.0	80.0	289.367083	0.1	True	7.0	290.369204	0.01	False	0.0	0.0	0.0	0.0	True	290.58208299999995	False	3.0
300.467743	2.0	trials	nogo_tone	8000.0	80.0	300.467743	0.1	True	7.0	301.469874	0.01	False	0.0	0.0	0.0	0.0	True	301.892743	False	3.0
311.537811	2.0	trials	go_tone	4000.0	80.0	311.537811	0.1	False				False	0.0	0.0	0.0	0.0	False		False	2.0
322.207552	2.0	trials	no_tone					True	7.0	323.209641	0.01	False	0.0	0.0	0.0	0.0	False		False	5.0
348.105843	2.0	trials	nogo_tone	8000.0	80.0	348.105843	0.1	True	7.0	349.107963	0.01	False	0.0	0.0	0.0	0.0	True	349.366843	False	3.0
359.05786	2.0	trials	nogo_tone	8000.0	80.0	359.05786	0.1	True	7.0	360.059981	0.01	False	0.0	0.0	0.0	0.0	False		False	3.0
370.508122	2.0	trials	go_tone	4000.0	80.0	370.508122	0.1	False				False	0.0	0.0	0.0	0.0	False		False	2.0
381.938608	2.0	trials	go_tone	4000.0	80.0	381.938608	0.1	True	7.0	382.94073	0.01	False	0.0	0.0	0.0	0.0	True	383.162608	False	1.0
393.368745	2.0	trials	nogo_tone	8000.0	80.0	393.368745	0.1	True	7.0	394.370867	0.01	False	0.0	0.0	0.0	0.0	True	394.534745	False	3.0
404.410204	2.0	trials	nogo_tone	8000.0	80.0	404.410204	0.1	True	7.0	405.412335	0.01	False	0.0	0.0	0.0	0.0	False		False	3.0
415.770274	2.0	trials	go_tone	4000.0	80.0	415.770274	0.1	False				False	0.0	0.0	0.0	0.0	False		False	2.0
426.95106	2.0	trials	no_tone					True	7.0	427.953181	0.01	False	0.0	0.0	0.0	0.0	False		False	5.0
438.338746	2.0	trials	go_tone	4000.0	80.0	438.338746	0.1	True	7.0	439.340869	0.01	False	0.0	0.0	0.0	0.0	True	439.61174600000004	False	1.0
448.938913	2.0	trials	nogo_tone	8000.0	80.0	448.938913	0.1	True	7.0	449.941	0.01	False	0.0	0.0	0.0	0.0	True	450.165913	False	3.0
460.379	2.0	trials	no_tone					True	7.0	461.381121	0.01	False	0.0	0.0	0.0	0.0	False		False	5.0
471.879161	2.0	trials	no_tone					True	7.0	472.881259	0.01	False	0.0	0.0	0.0	0.0	False		False	5.0
482.959296	2.0	trials	nogo_tone	8000.0	80.0	482.959296	0.1	True	7.0	483.961417	0.01	False	0.0	0.0	0.0	0.0	False		False	3.0
493.581462	2.0	trials	nogo_tone	8000.0	80.0	493.581462	0.1	True	7.0	494.583559	0.01	False	0.0	0.0	0.0	0.0	False		False	3.0
504.609997	2.0	trials	nogo_tone	8000.0	80.0	504.609997	0.1	True	7.0	505.612128	0.01	False	0.0	0.0	0.0	0.0	False		False	3.0
515.911066	2.0	trials	no_tone					True	7.0	516.913154	0.01	False	0.0	0.0	0.0	0.0	False		False	5.0
527.020001	2.0	trials	go_tone	4000.0	80.0	527.020001	0.1	True	7.0	528.022123	0.01	False	0.0	0.0	0.0	0.0	True	528.317001	False	1.0
537.769834	2.0	trials	go_tone	4000.0	80.0	537.769834	0.1	True	7.0	538.771964	0.01	False	0.0	0.0	0.0	0.0	True	538.956834	False	1.0
549.150455	2.0	trials	nogo_tone	8000.0	80.0	549.150455	0.1	True	7.0	550.152592	0.01	False	0.0	0.0	0.0	0.0	False		False	3.0
559.752136	2.0	trials	nogo_tone	8000.0	80.0	559.752136	0.1	True	7.0	560.754267	0.01	False	0.0	0.0	0.0	0.0	False		False	3.0
570.781954	2.0	trials	nogo_tone	8000.0	80.0	570.781954	0.1	True	7.0	571.784051	0.01	False	0.0	0.0	0.0	0.0	False		False	3.0
581.430337	2.0	trials	go_tone	4000.0	80.0	581.430337	0.1	True	7.0	582.432434	0.01	False	0.0	0.0	0.0	0.0	True	582.685337	False	1.0
592.040478	2.0	trials	nogo_tone	8000.0	80.0	592.040478	0.1	True	7.0	593.042599	0.01	False	0.0	0.0	0.0	0.0	True	593.271478	False	3.0
603.53054	2.0	trials	go_tone	4000.0	80.0	603.53054	0.1	False				False	0.0	0.0	0.0	0.0	False		False	2.0
614.900726	2.0	trials	go_tone	4000.0	80.0	614.900726	0.1	True	7.0	615.902857	0.01	False	0.0	0.0	0.0	0.0	True	616.091726	False	1.0
625.980844	2.0	trials	nogo_tone	8000.0	80.0	625.980844	0.1	True	7.0	626.982932	0.01	False	0.0	0.0	0.0	0.0	False		False	3.0
637.10093	2.0	trials	no_tone					True	7.0	638.103051	0.01	False	0.0	0.0	0.0	0.0	False		False	5.0
658.248836	2.0	trials	go_tone	4000.0	80.0	658.248836	0.1	True	7.0	659.250924	0.01	False	0.0	0.0	0.0	0.0	True	659.4338359999999	False	1.0
669.161769	2.0	trials	nogo_tone	8000.0	80.0	669.161769	0.1	True	7.0	670.163892	0.01	False	0.0	0.0	0.0	0.0	True	670.398769	False	3.0
