onset	duration	nwb_table	context	auditory_stim_frequency	auditory_stim_amplitude	auditory_stim_time	auditory_stim_duration	whisker_stim	whisker_stim_amplitude	whisker_stim_time	whisker_stim_duration	opto_stim	opto_stim_frequency	opto_stim_amplitude	opto_stim_start_time	opto_stim_stop_time	opto_window	opto_duration	opto_area	lick_flag	lick_time	early_lick	trial_type
11.509	2.0	trials	go_tone	8000.0	80.0	11.509	0.1	True	5.0	12.509	0.01	False					nolight	0.0	nan	True	14.404	False	1.0
22.598	2.0	trials	go_tone	8000.0	80.0	22.598	0.1	True	5.0	23.598	0.01	True	100.0	12.0	23.548	23.898	whisker	350.0	A1	True	24.923	True	1.0
34.93	2.0	trials	go_tone	8000.0	80.0	34.93	0.1	True	5.0	35.93	0.01	True	100.0	12.0	35.88	36.23	whisker	350.0	A1	True	38.248	False	1.0
45.762	2.0	trials	go_tone	8000.0	80.0	45.762	0.1	False				False					nolight	0.0	nan	True	48.598	False	2.0
56.579	2.0	trials	nogo_tone	4000.0	80.0	56.579	0.1	True	5.0	57.579	0.01	True	100.0	12.0	56.979	57.529	delay	550.0	A1	False		False	3.0
67.549	2.0	trials	go_tone	8000.0	80.0	67.549	0.1	False				False					nolight	0.0	nan	True	70.049	True	2.0
80.049	2.0	trials	go_tone	8000.0	80.0	80.049	0.1	False				False					nolight	0.0	nan	True	82.831	False	2.0
90.74	2.0	trials	go_tone	8000.0	80.0	90.74	0.1	False				False					nolight	0.0	nan	False		False	2.0
101.791	2.0	trials	nogo_tone	4000.0	80.0	101.791	0.1	False				False					nolight	0.0	nan	False		False	4.0
112.401	2.0	trials	no_tone					True	5.0	113.401	0.01	False					nolight	0.0	nan	False		False	5.0
123.891	2.0	trials	nogo_tone	4000.0	80.0	123.891	0.1	True	5.0	124.891	0.01	False					nolight	0.0	nan	False		False	3.0
135.291	2.0	trials	nogo_tone	4000.0	80.0	135.291	0.1	True	5.0	136.291	0.01	False					nolight	0.0	nan	False		False	3.0
146.492	2.0	trials	nogo_tone	4000.0	80.0	146.492	0.1	False				False					nolight	0.0	nan	False		False	4.0
157.88	2.0	trials	go_tone	8000.0	80.0	157.88	0.1	True	5.0	158.88	0.01	False					nolight	0.0	nan	True	161.001	False	1.0
168.82	2.0	trials	nogo_tone	4000.0	80.0	168.82	0.1	True	5.0	169.82	0.01	False					nolight	0.0	nan	False		False	3.0
179.5	2.0	trials	nogo_tone	4000.0	80.0	179.5	0.1	False				True	100.0	12.0	180.45	180.8	whisker	350.0	A1	False		False	4.0
190.904	2.0	trials	no_tone					True	5.0	191.904	0.01	False					nolight	0.0	nan	False		False	5.0
201.502	2.0	trials	no_tone					True	5.0	202.502	0.01	False					nolight	0.0	nan	False		False	5.0
212.363	2.0	trials	nogo_tone	4000.0	80.0	212.363	0.1	True	5.0	213.363	0.01	True	100.0	12.0	213.313	213.663	whisker	350.0	A1	False		False	3.0
223.883	2.0	trials	nogo_tone	4000.0	80.0	223.883	0.1	False				False					nolight	0.0	nan	False		False	4.0
235.441	2.0	trials	no_tone					True	5.0	236.441	0.01	True	100.0	12.0	236.391	236.741	whisker	350.0	A1	False		False	5.0
246.963	2.0	trials	nogo_tone	4000.0	80.0	246.963	0.1	False				False					nolight	0.0	nan	False		False	4.0
257.662	2.0	trials	go_tone	8000.0	80.0	257.662	0.1	False				True	100.0	12.0	258.61199999999997	258.962	whisker	350.0	A1	False		False	2.0
268.552	2.0	trials	nogo_tone	4000.0	80.0	268.552	0.1	True	5.0	269.552	0.01	False					nolight	0.0	nan	True	271.67900000000003	False	3.0
279.122	2.0	trials	nogo_tone	4000.0	80.0	279.122	0.1	False				True	100.0	12.0	279.522	280.072	delay	550.0	A1	False		False	4.0
290.024	2.0	trials	no_tone					True	5.0	291.024	0.01	False					nolight	0.0	nan	True	292.946	False	5.0
300.797	2.0	trials	go_tone	8000.0	80.0	300.797	0.1	False				False					nolight	0.0	nan	True	303.72200000000004	False	2.0
312.333	2.0	trials	nogo_tone	4000.0	80.0	312.333	0.1	True	5.0	313.333	0.01	False					nolight	0.0	nan	False		False	3.0
323.353	2.0	trials	go_tone	8000.0	80.0	323.353	0.1	False				True	100.0	12.0	323.753	324.303	delay	550.0	A1	True	326.866	False	2.0
333.973	2.0	trials	no_tone					True	5.0	334.973	0.01	True	100.0	12.0	333.923	334.373	audio	450.0	A1	False		False	5.0
344.714	2.0	trials	no_tone					True	5.0	345.714	0.01	False					nolight	0.0	nan	False		False	5.0
355.645	2.0	trials	nogo_tone	4000.0	80.0	355.645	0.1	False				True	100.0	12.0	355.59499999999997	356.04499999999996	audio	450.0	A1	False		False	4.0
366.824	2.0	trials	go_tone	8000.0	80.0	366.824	0.1	True	5.0	367.824	0.01	False					nolight	0.0	nan	True	369.964	False	1.0
377.644	2.0	trials	no_tone					True	5.0	378.644	0.01	False					nolight	0.0	nan	False		False	5.0
388.476	2.0	trials	nogo_tone	4000.0	80.0	388.476	0.1	True	5.0	389.476	0.01	True	100.0	12.0	388.426	388.876	audio	450.0	A1	False		False	3.0
400.044	2.0	trials	go_tone	8000.0	80.0	400.044	0.1	True	5.0	401.044	0.01	False					nolight	0.0	nan	True	402.89799999999997	False	1.0
411.005	2.0	trials	go_tone	8000.0	80.0	411.005	0.1	False				True	100.0	12.0	410.955	411.405	audio	450.0	A1	False		False	2.0
422.375	2.0	trials	nogo_tone	4000.0	80.0	422.375	0.1	False				False					nolight	0.0	nan	False		False	4.0
