onset	duration	nwb_table	context	auditory_stim_frequency	auditory_stim_amplitude	auditory_stim_time	auditory_stim_duration	whisker_stim	whisker_stim_amplitude	whisker_stim_time	whisker_stim_duration	opto_stim	opto_stim_frequency	opto_stim_amplitude	opto_stim_start_time	opto_stim_stop_time	opto_window	opto_duration	opto_area	lick_flag	lick_time	early_lick	trial_type
11.509	2.0	trials	go_tone	8000.0	80.0	11.509	0.1	False				True	100.0	12.0	11.909	12.459	delay	550.0	wM2	True	14.381	False	2.0
22.288	2.0	trials	nogo_tone	4000.0	80.0	22.288	0.1	True	5.0	23.288	0.01	False					nolight	0.0	nan	False		False	3.0
33.328	2.0	trials	no_tone					True	5.0	34.328	0.01	True	100.0	12.0	34.278000000000006	34.628	whisker	350.0	wM2	False		False	5.0
44.249	2.0	trials	nogo_tone	4000.0	80.0	44.249	0.1	True	5.0	45.249	0.01	False					nolight	0.0	nan	False		False	3.0
54.889	2.0	trials	nogo_tone	4000.0	80.0	54.889	0.1	False				False					nolight	0.0	nan	False		False	4.0
66.139	2.0	trials	no_tone					True	5.0	67.139	0.01	False					nolight	0.0	nan	False		False	5.0
77.358	2.0	trials	no_tone					True	5.0	78.358	0.01	False					nolight	0.0	nan	True	80.33800000000001	False	5.0
88.099	2.0	trials	go_tone	8000.0	80.0	88.099	0.1	True	5.0	89.099	0.01	True	100.0	12.0	89.049	89.399	whisker	350.0	wM2	False		False	1.0
98.779	2.0	trials	go_tone	8000.0	80.0	98.779	0.1	False				False					nolight	0.0	nan	False		False	2.0
109.939	2.0	trials	nogo_tone	4000.0	80.0	109.939	0.1	False				False					nolight	0.0	nan	False		False	4.0
121.32	2.0	trials	nogo_tone	4000.0	80.0	121.32	0.1	True	5.0	122.32	0.01	False					nolight	0.0	nan	False		False	3.0
132.17	2.0	trials	nogo_tone	4000.0	80.0	132.17	0.1	False				False					nolight	0.0	nan	False		False	4.0
143.66	2.0	trials	nogo_tone	4000.0	80.0	143.66	0.1	False				True	100.0	12.0	143.60999999999999	144.06	audio	450.0	wM2	False		False	4.0
154.48	2.0	trials	no_tone					True	5.0	155.48	0.01	False					nolight	0.0	nan	False		False	5.0
165.961	2.0	trials	go_tone	8000.0	80.0	165.961	0.1	False				False					nolight	0.0	nan	False		False	2.0
177.332	2.0	trials	go_tone	8000.0	80.0	177.332	0.1	True	5.0	178.332	0.01	False					nolight	0.0	nan	True	180.274	False	1.0
188.271	2.0	trials	go_tone	8000.0	80.0	188.271	0.1	False				False					nolight	0.0	nan	True	191.04	False	2.0
199.321	2.0	trials	no_tone					True	5.0	200.321	0.01	False					nolight	0.0	nan	False		False	5.0
210.741	2.0	trials	nogo_tone	4000.0	80.0	210.741	0.1	True	5.0	211.741	0.01	False					nolight	0.0	nan	False		False	3.0
222.121	2.0	trials	no_tone					True	5.0	223.121	0.01	True	100.0	12.0	222.071	222.52100000000002	audio	450.0	wM2	False		False	5.0
232.982	2.0	trials	nogo_tone	4000.0	80.0	232.982	0.1	True	5.0	233.982	0.01	True	100.0	12.0	232.932	233.382	audio	450.0	wM2	False		False	3.0
244.332	2.0	trials	go_tone	8000.0	80.0	244.332	0.1	False				True	100.0	12.0	244.28199999999998	244.732	audio	450.0	wM2	False		False	2.0
255.042	2.0000000000000284	trials	nogo_tone	4000.0	80.0	255.042	0.1	True	5.0	256.04200000000003	0.01	False					nolight	0.0	nan	False		False	3.0
265.652	2.0	trials	go_tone	8000.0	80.0	265.652	0.1	False				True	100.0	12.0	266.602	266.952	whisker	350.0	wM2	False		False	2.0
276.804	2.0	trials	go_tone	8000.0	80.0	276.804	0.1	True	5.0	277.804	0.01	False					nolight	0.0	nan	True	279.67699999999996	False	1.0
287.503	2.0	trials	nogo_tone	4000.0	80.0	287.503	0.1	False				True	100.0	12.0	288.453	288.803	whisker	350.0	wM2	True	289.585	True	4.0
299.587	2.0	trials	nogo_tone	4000.0	80.0	299.587	0.1	False				True	100.0	12.0	300.537	300.887	whisker	350.0	wM2	False		False	4.0
310.823	2.0	trials	nogo_tone	4000.0	80.0	310.823	0.1	False				False					nolight	0.0	nan	False		False	4.0
322.303	2.0	trials	no_tone					True	5.0	323.303	0.01	False					nolight	0.0	nan	True	325.135	False	5.0
333.803	2.0	trials	go_tone	8000.0	80.0	333.803	0.1	True	5.0	334.803	0.01	False					nolight	0.0	nan	True	336.737	False	1.0
344.604	2.0	trials	nogo_tone	4000.0	80.0	344.604	0.1	False				True	100.0	12.0	345.00399999999996	345.554	delay	550.0	wM2	False		False	4.0
356.134	2.0	trials	nogo_tone	4000.0	80.0	356.134	0.1	False				False					nolight	0.0	nan	False		False	4.0
367.404	2.0	trials	go_tone	8000.0	80.0	367.404	0.1	True	5.0	368.404	0.01	True	100.0	12.0	367.354	367.804	audio	450.0	wM2	True	370.228	False	1.0
378.727	2.0	trials	go_tone	8000.0	80.0	378.727	0.1	True	5.0	379.727	0.01	False					nolight	0.0	nan	True	380.774	True	1.0
390.784	2.0	trials	go_tone	8000.0	80.0	390.784	0.1	True	5.0	391.784	0.01	False					nolight	0.0	nan	True	392.93399999999997	True	1.0
402.945	2.0	trials	go_tone	8000.0	80.0	402.945	0.1	True	5.0	403.945	0.01	False					nolight	0.0	nan	True	405.842	False	1.0
413.855	2.0	trials	nogo_tone	4000.0	80.0	413.855	0.1	True	5.0	414.855	0.01	False					nolight	0.0	nan	False		False	3.0
425.335	2.0	trials	go_tone	8000.0	80.0	425.335	0.1	True	5.0	426.335	0.01	False					nolight	0.0	nan	True	428.072	False	1.0
436.476	2.0	trials	go_tone	8000.0	80.0	436.476	0.1	False				False					nolight	0.0	nan	False		False	2.0
447.805	2.0	trials	go_tone	8000.0	80.0	447.805	0.1	False				False					nolight	0.0	nan	True	449.995	True	2.0
459.996	2.0	trials	go_tone	8000.0	80.0	459.996	0.1	False				False					nolight	0.0	nan	True	463.18	False	2.0
471.355	2.0	trials	nogo_tone	4000.0	80.0	471.355	0.1	True	5.0	472.355	0.01	True	100.0	12.0	472.305	472.65500000000003	whisker	350.0	wM2	False		False	3.0
482.032	2.0	trials	no_tone					True	5.0	483.032	0.01	True	100.0	12.0	482.43199999999996	482.98199999999997	delay	550.0	wM2	False		False	5.0
493.346	2.0	trials	nogo_tone	4000.0	80.0	493.346	0.1	False				False					nolight	0.0	nan	False		False	4.0
503.966	2.0	trials	go_tone	8000.0	80.0	503.966	0.1	False				False					nolight	0.0	nan	False		False	2.0
515.376	2.0	trials	no_tone					True	5.0	516.376	0.01	False					nolight	0.0	nan	True	518.29	False	5.0
526.247	2.0	trials	go_tone	8000.0	80.0	526.247	0.1	True	5.0	527.247	0.01	False					nolight	0.0	nan	True	529.2769999999999	False	1.0
537.017	2.0	trials	go_tone	8000.0	80.0	537.017	0.1	True	5.0	538.017	0.01	True	100.0	12.0	537.417	537.9670000000001	delay	550.0	wM2	True	539.6840000000001	False	1.0
548.389	2.0	trials	nogo_tone	4000.0	80.0	548.389	0.1	True	5.0	549.389	0.01	True	100.0	12.0	548.789	549.339	delay	550.0	wM2	True	549.013	True	3.0
559.017	2.0	trials	nogo_tone	4000.0	80.0	559.017	0.1	True	5.0	560.017	0.01	True	100.0	12.0	559.417	559.9670000000001	delay	550.0	wM2	False		False	3.0
570.207	2.0	trials	no_tone					True	5.0	571.207	0.01	True	100.0	12.0	570.157	570.607	audio	450.0	wM2	True	573.029	False	5.0
580.947	2.0	trials	go_tone	8000.0	80.0	580.947	0.1	False				False					nolight	0.0	nan	True	582.978	True	2.0
592.988	2.0	trials	go_tone	8000.0	80.0	592.988	0.1	False				False					nolight	0.0	nan	True	595.8030000000001	False	2.0
603.868	2.0	trials	nogo_tone	4000.0	80.0	603.868	0.1	True	5.0	604.868	0.01	True	100.0	12.0	604.8180000000001	605.168	whisker	350.0	wM2	False		False	3.0
614.818	2.0	trials	go_tone	8000.0	80.0	614.818	0.1	False				False					nolight	0.0	nan	True	617.288	True	2.0
627.298	2.0	trials	go_tone	8000.0	80.0	627.298	0.1	False				False					nolight	0.0	nan	True	629.943	False	2.0
637.938	2.0	trials	go_tone	8000.0	80.0	637.938	0.1	False				False					nolight	0.0	nan	False		False	2.0
