onset	duration	nwb_table	context	auditory_stim_frequency	auditory_stim_amplitude	auditory_stim_time	auditory_stim_duration	whisker_stim	whisker_stim_amplitude	whisker_stim_time	whisker_stim_duration	opto_stim	opto_stim_frequency	opto_stim_amplitude	opto_stim_start_time	opto_stim_stop_time	opto_window	opto_duration	opto_area	lick_flag	lick_time	early_lick	trial_type
11.502	2.0	trials	nogo_tone	4000.0	80.0	11.502	0.1	False				True	100.0	12.0	12.452	12.802000000000001	whisker	350.0	wM2	False		False	4.0
22.183	2.0	trials	go_tone	8000.0	80.0	22.183	0.1	False				False					nolight	0.0	nan	True	24.854	False	2.0
33.294	2.0	trials	nogo_tone	4000.0	80.0	33.294	0.1	True	5.0	34.294	0.01	False					nolight	0.0	nan	False		False	3.0
44.842	2.0	trials	go_tone	8000.0	80.0	44.842	0.1	True	5.0	45.842	0.01	False					nolight	0.0	nan	True	47.771	False	1.0
56.362	2.0	trials	go_tone	8000.0	80.0	56.362	0.1	False				False					nolight	0.0	nan	True	58.732	True	2.0
68.733	2.0	trials	go_tone	8000.0	80.0	68.733	0.1	False				False					nolight	0.0	nan	False		False	2.0
79.387	2.0	trials	nogo_tone	4000.0	80.0	79.387	0.1	False				False					nolight	0.0	nan	False		False	4.0
90.493	2.0	trials	no_tone					True	5.0	91.493	0.01	False					nolight	0.0	nan	True	93.27	False	5.0
101.494	2.0	trials	nogo_tone	4000.0	80.0	101.494	0.1	False				False					nolight	0.0	nan	False		False	4.0
112.755	2.0	trials	no_tone					True	5.0	113.755	0.01	False					nolight	0.0	nan	False		False	5.0
123.614	2.0	trials	go_tone	8000.0	80.0	123.614	0.1	False				False					nolight	0.0	nan	True	126.28800000000001	False	2.0
134.615	2.0	trials	go_tone	8000.0	80.0	134.615	0.1	True	5.0	135.615	0.01	False					nolight	0.0	nan	True	137.489	False	1.0
145.894	2.0	trials	no_tone					True	5.0	146.894	0.01	True	100.0	12.0	146.294	146.844	delay	550.0	wM2	True	148.608	False	5.0
157.176	2.0	trials	go_tone	8000.0	80.0	157.176	0.1	False				True	100.0	12.0	158.12599999999998	158.476	whisker	350.0	wM2	False		False	2.0
168.574	2.0	trials	go_tone	8000.0	80.0	168.574	0.1	False				True	100.0	12.0	168.97400000000002	169.524	delay	550.0	wM2	False		False	2.0
179.915	2.0	trials	go_tone	8000.0	80.0	179.915	0.1	True	5.0	180.915	0.01	False					nolight	0.0	nan	True	182.69299999999998	False	1.0
190.985	2.0	trials	nogo_tone	4000.0	80.0	190.985	0.1	True	5.0	191.985	0.01	True	100.0	12.0	191.935	192.28500000000003	whisker	350.0	wM2	False		False	3.0
201.675	2.0	trials	go_tone	8000.0	80.0	201.675	0.1	False				False					nolight	0.0	nan	True	204.312	False	2.0
212.845	2.0	trials	no_tone					True	5.0	213.845	0.01	False					nolight	0.0	nan	False		False	5.0
224.165	2.0	trials	go_tone	8000.0	80.0	224.165	0.1	False				True	100.0	12.0	224.11499999999998	224.565	audio	450.0	wM2	False		False	2.0
235.594	2.0	trials	nogo_tone	4000.0	80.0	235.594	0.1	True	5.0	236.594	0.01	False					nolight	0.0	nan	False		False	3.0
246.278	2.0	trials	nogo_tone	4000.0	80.0	246.278	0.1	True	5.0	247.278	0.01	True	100.0	12.0	246.678	247.22799999999998	delay	550.0	wM2	False		False	3.0
257.488	2.0	trials	no_tone					True	5.0	258.488	0.01	False					nolight	0.0	nan	False		False	5.0
268.788	2.0	trials	nogo_tone	4000.0	80.0	268.788	0.1	True	5.0	269.788	0.01	False					nolight	0.0	nan	False		False	3.0
279.438	2.0	trials	nogo_tone	4000.0	80.0	279.438	0.1	True	5.0	280.438	0.01	True	100.0	12.0	279.388	279.83799999999997	audio	450.0	wM2	True	282.26	False	3.0
290.508	2.0	trials	nogo_tone	4000.0	80.0	290.508	0.1	False				True	100.0	12.0	290.90799999999996	291.45799999999997	delay	550.0	wM2	False		False	4.0
301.438	2.0	trials	nogo_tone	4000.0	80.0	301.438	0.1	False				False					nolight	0.0	nan	False		False	4.0
312.888	2.0	trials	go_tone	8000.0	80.0	312.888	0.1	True	5.0	313.888	0.01	False					nolight	0.0	nan	True	315.669	False	1.0
323.752	2.0	trials	go_tone	8000.0	80.0	323.752	0.1	True	5.0	324.752	0.01	True	100.0	12.0	323.702	324.152	audio	450.0	wM2	True	326.57800000000003	False	1.0
334.822	2.0	trials	no_tone					True	5.0	335.822	0.01	False					nolight	0.0	nan	False		False	5.0
345.65	2.0	trials	go_tone	8000.0	80.0	345.65	0.1	True	5.0	346.65	0.01	False					nolight	0.0	nan	True	348.731	False	1.0
357.018	2.0	trials	go_tone	8000.0	80.0	357.018	0.1	False				False					nolight	0.0	nan	True	359.59999999999997	False	2.0
368.01	2.0	trials	nogo_tone	4000.0	80.0	368.01	0.1	False				True	100.0	12.0	367.96	368.40999999999997	audio	450.0	wM2	False		False	4.0
378.758	2.0	trials	go_tone	8000.0	80.0	378.758	0.1	True	5.0	379.758	0.01	False					nolight	0.0	nan	True	381.61899999999997	False	1.0
390.0	2.0	trials	nogo_tone	4000.0	80.0	390.0	0.1	True	5.0	391.0	0.01	False					nolight	0.0	nan	True	392.844	False	3.0
401.219	2.0	trials	nogo_tone	4000.0	80.0	401.219	0.1	False				False					nolight	0.0	nan	False		False	4.0
412.19	2.0	trials	nogo_tone	4000.0	80.0	412.19	0.1	True	5.0	413.19	0.01	False					nolight	0.0	nan	False		False	3.0
422.939	2.0	trials	go_tone	8000.0	80.0	422.939	0.1	True	5.0	423.939	0.01	True	100.0	12.0	423.889	424.23900000000003	whisker	350.0	wM2	True	425.908	False	1.0
434.099	2.0	trials	go_tone	8000.0	80.0	434.099	0.1	True	5.0	435.099	0.01	True	100.0	12.0	434.49899999999997	435.049	delay	550.0	wM2	False		False	1.0
444.67	2.0	trials	no_tone					True	5.0	445.67	0.01	False					nolight	0.0	nan	False		False	5.0
455.601	2.0	trials	go_tone	8000.0	80.0	455.601	0.1	False				False					nolight	0.0	nan	True	458.15	True	2.0
468.162	2.0	trials	go_tone	8000.0	80.0	468.162	0.1	False				False					nolight	0.0	nan	True	470.981	False	2.0
478.86	2.0	trials	no_tone					True	5.0	479.86	0.01	True	100.0	12.0	479.81	480.16	whisker	350.0	wM2	False		False	5.0
489.612	2.0	trials	nogo_tone	4000.0	80.0	489.612	0.1	False				False					nolight	0.0	nan	False		False	4.0
500.732	2.0	trials	no_tone					True	5.0	501.732	0.01	True	100.0	12.0	500.682	501.132	audio	450.0	wM2	True	503.68600000000004	False	5.0
511.831	2.0	trials	nogo_tone	4000.0	80.0	511.831	0.1	True	5.0	512.831	0.01	False					nolight	0.0	nan	False		False	3.0
522.551	2.0	trials	nogo_tone	4000.0	80.0	522.551	0.1	False				False					nolight	0.0	nan	False		False	4.0
533.301	2.0	trials	nogo_tone	4000.0	80.0	533.301	0.1	False				True	100.0	12.0	533.701	534.2510000000001	delay	550.0	wM2	False		False	4.0
544.703	2.0	trials	go_tone	8000.0	80.0	544.703	0.1	True	5.0	545.703	0.01	False					nolight	0.0	nan	True	547.242	True	1.0
557.251	2.0	trials	go_tone	8000.0	80.0	557.251	0.1	True	5.0	558.251	0.01	False					nolight	0.0	nan	True	559.9359999999999	False	1.0
568.683	2.0	trials	go_tone	8000.0	80.0	568.683	0.1	True	5.0	569.683	0.01	False					nolight	0.0	nan	True	571.122	True	1.0
581.132	2.0	trials	go_tone	8000.0	80.0	581.132	0.1	True	5.0	582.132	0.01	False					nolight	0.0	nan	True	583.8069999999999	False	1.0
592.484	2.0	trials	go_tone	8000.0	80.0	592.484	0.1	False				True	100.0	12.0	593.4340000000001	593.784	whisker	350.0	wM2	True	595.544	False	2.0
603.377	2.0	trials	no_tone					True	5.0	604.377	0.01	False					nolight	0.0	nan	True	605.995	False	5.0
614.893	2.0	trials	nogo_tone	4000.0	80.0	614.893	0.1	True	5.0	615.893	0.01	True	100.0	12.0	615.8430000000001	616.193	whisker	350.0	wM2	False		False	3.0
625.874	2.0	trials	nogo_tone	4000.0	80.0	625.874	0.1	False				True	100.0	12.0	626.8240000000001	627.174	whisker	350.0	wM2	False		False	4.0
637.373	2.0	trials	no_tone					True	5.0	638.373	0.01	False					nolight	0.0	nan	False		False	5.0
672.038	2.0	trials	no_tone					True	5.0	673.038	0.01	False					nolight	0.0	nan	False		False	5.0
683.364	2.0	trials	go_tone	8000.0	80.0	683.364	0.1	False				False					nolight	0.0	nan	False		False	2.0
694.266	2.0	trials	go_tone	8000.0	80.0	694.266	0.1	False				True	100.0	12.0	694.6659999999999	695.216	delay	550.0	wM2	False		False	2.0
705.696	2.0	trials	go_tone	8000.0	80.0	705.696	0.1	True	5.0	706.696	0.01	False					nolight	0.0	nan	True	708.649	False	1.0
717.255	2.0	trials	nogo_tone	4000.0	80.0	717.255	0.1	False				False					nolight	0.0	nan	False		False	4.0
728.364	2.0	trials	nogo_tone	4000.0	80.0	728.364	0.1	True	5.0	729.364	0.01	True	100.0	12.0	728.764	729.3140000000001	delay	550.0	wM2	False		False	3.0
739.396	2.0	trials	nogo_tone	4000.0	80.0	739.396	0.1	True	5.0	740.396	0.01	False					nolight	0.0	nan	True	742.352	False	3.0
750.126	2.0	trials	no_tone					True	5.0	751.126	0.01	True	100.0	12.0	750.076	750.526	audio	450.0	wM2	False		False	5.0
760.865	2.0	trials	nogo_tone	4000.0	80.0	760.865	0.1	False				False					nolight	0.0	nan	False		False	4.0
771.837	2.0	trials	no_tone					True	5.0	772.837	0.01	False					nolight	0.0	nan	True	774.655	False	5.0
782.585	2.0	trials	no_tone					True	5.0	783.585	0.01	False					nolight	0.0	nan	False		False	5.0
793.846	2.0	trials	nogo_tone	4000.0	80.0	793.846	0.1	True	5.0	794.846	0.01	True	100.0	12.0	793.796	794.246	audio	450.0	wM2	False		False	3.0
805.028	2.0	trials	no_tone					True	5.0	806.028	0.01	True	100.0	12.0	805.9780000000001	806.328	whisker	350.0	wM2	False		False	5.0
816.488	2.0	trials	nogo_tone	4000.0	80.0	816.488	0.1	False				False					nolight	0.0	nan	False		False	4.0
827.107	2.0	trials	nogo_tone	4000.0	80.0	827.107	0.1	True	5.0	828.107	0.01	False					nolight	0.0	nan	False		False	3.0
838.376	2.0	trials	go_tone	8000.0	80.0	838.376	0.1	True	5.0	839.376	0.01	True	100.0	12.0	838.326	838.776	audio	450.0	wM2	True	841.196	False	1.0
849.348	2.0	trials	go_tone	8000.0	80.0	849.348	0.1	True	5.0	850.348	0.01	False					nolight	0.0	nan	True	852.3109999999999	False	1.0
