onset	duration	nwb_table	context	auditory_stim_frequency	auditory_stim_amplitude	auditory_stim_time	auditory_stim_duration	whisker_stim	whisker_stim_amplitude	whisker_stim_time	whisker_stim_duration	opto_stim	opto_stim_frequency	opto_stim_amplitude	opto_stim_start_time	opto_stim_stop_time	opto_window	opto_duration	opto_area	lick_flag	lick_time	early_lick	trial_type
11.502	2.0	trials	nogo_tone	4000.0	80.0	11.502	0.1	True	5.0	12.502	0.01	True	100.0	12.0	11.902000000000001	12.452	delay	550.0	wM2	False		False	3.0
22.872	2.0	trials	go_tone	8000.0	80.0	22.872	0.1	True	5.0	23.872	0.01	False					nolight	0.0	nan	True	26.244	False	1.0
34.112	2.0	trials	nogo_tone	4000.0	80.0	34.112	0.1	True	5.0	35.112	0.01	False					nolight	0.0	nan	False		False	3.0
45.431	2.0	trials	go_tone	8000.0	80.0	45.431	0.1	False				True	100.0	12.0	46.381	46.730999999999995	whisker	350.0	wM2	True	48.811	False	2.0
56.341	2.0	trials	nogo_tone	4000.0	80.0	56.341	0.1	False				True	100.0	12.0	56.741	57.291000000000004	delay	550.0	wM2	False		False	4.0
67.451	2.0	trials	nogo_tone	4000.0	80.0	67.451	0.1	True	5.0	68.451	0.01	False					nolight	0.0	nan	False		False	3.0
78.503	2.0	trials	nogo_tone	4000.0	80.0	78.503	0.1	True	5.0	79.503	0.01	False					nolight	0.0	nan	False		False	3.0
89.973	2.0	trials	go_tone	8000.0	80.0	89.973	0.1	True	5.0	90.973	0.01	False					nolight	0.0	nan	True	93.05	False	1.0
101.093	2.0	trials	nogo_tone	4000.0	80.0	101.093	0.1	False				True	100.0	12.0	101.043	101.49300000000001	audio	450.0	wM2	False		False	4.0
112.602	2.0	trials	go_tone	8000.0	80.0	112.602	0.1	True	5.0	113.602	0.01	False					nolight	0.0	nan	True	115.569	False	1.0
123.213	2.0	trials	no_tone					True	5.0	124.213	0.01	True	100.0	12.0	123.613	124.163	delay	550.0	wM2	False		False	5.0
134.504	2.0	trials	nogo_tone	4000.0	80.0	134.504	0.1	True	5.0	135.504	0.01	True	100.0	12.0	135.45399999999998	135.804	whisker	350.0	wM2	False		False	3.0
145.594	2.0	trials	go_tone	8000.0	80.0	145.594	0.1	False				False					nolight	0.0	nan	False		False	2.0
156.304	2.0	trials	no_tone					True	5.0	157.304	0.01	False					nolight	0.0	nan	False		False	5.0
167.695	2.0	trials	nogo_tone	4000.0	80.0	167.695	0.1	False				True	100.0	12.0	168.64499999999998	168.995	whisker	350.0	wM2	False		False	4.0
179.243	2.0	trials	go_tone	8000.0	80.0	179.243	0.1	True	5.0	180.243	0.01	False					nolight	0.0	nan	True	182.268	False	1.0
190.425	2.0	trials	nogo_tone	4000.0	80.0	190.425	0.1	False				False					nolight	0.0	nan	False		False	4.0
201.274	2.0	trials	go_tone	8000.0	80.0	201.274	0.1	False				True	100.0	12.0	201.674	202.224	delay	550.0	wM2	False		False	2.0
212.714	2.0	trials	go_tone	8000.0	80.0	212.714	0.1	True	5.0	213.714	0.01	False					nolight	0.0	nan	True	215.435	False	1.0
223.974	2.0	trials	nogo_tone	4000.0	80.0	223.974	0.1	False				False					nolight	0.0	nan	False		False	4.0
235.214	2.0	trials	go_tone	8000.0	80.0	235.214	0.1	False				False					nolight	0.0	nan	False		False	2.0
246.146	2.0	trials	go_tone	8000.0	80.0	246.146	0.1	False				False					nolight	0.0	nan	False		False	2.0
256.755	2.0	trials	go_tone	8000.0	80.0	256.755	0.1	True	5.0	257.755	0.01	True	100.0	12.0	256.705	257.155	audio	450.0	wM2	True	259.649	False	1.0
268.267	2.0	trials	go_tone	8000.0	80.0	268.267	0.1	False				True	100.0	12.0	268.217	268.667	audio	450.0	wM2	False		False	2.0
279.235	2.0	trials	no_tone					True	5.0	280.235	0.01	True	100.0	12.0	279.185	279.635	audio	450.0	wM2	False		False	5.0
290.487	2.0	trials	no_tone					True	5.0	291.487	0.01	False					nolight	0.0	nan	False		False	5.0
301.375	2.0	trials	nogo_tone	4000.0	80.0	301.375	0.1	True	5.0	302.375	0.01	False					nolight	0.0	nan	False		False	3.0
312.435	2.0	trials	no_tone					True	5.0	313.435	0.01	False					nolight	0.0	nan	False		False	5.0
323.206	2.0	trials	nogo_tone	4000.0	80.0	323.206	0.1	False				False					nolight	0.0	nan	False		False	4.0
334.196	2.0	trials	no_tone					True	5.0	335.196	0.01	False					nolight	0.0	nan	False		False	5.0
345.606	2.0	trials	no_tone					True	5.0	346.606	0.01	False					nolight	0.0	nan	False		False	5.0
357.007	2.0	trials	go_tone	8000.0	80.0	357.007	0.1	False				False					nolight	0.0	nan	True	359.955	False	2.0
367.62	2.0	trials	nogo_tone	4000.0	80.0	367.62	0.1	True	5.0	368.62	0.01	False					nolight	0.0	nan	True	370.998	False	3.0
378.629	2.0	trials	nogo_tone	4000.0	80.0	378.629	0.1	False				False					nolight	0.0	nan	False		False	4.0
389.827	2.0	trials	nogo_tone	4000.0	80.0	389.827	0.1	True	5.0	390.827	0.01	True	100.0	12.0	389.777	390.227	audio	450.0	wM2	False		False	3.0
400.597	2.0	trials	no_tone					True	5.0	401.597	0.01	True	100.0	12.0	401.54699999999997	401.897	whisker	350.0	wM2	False		False	5.0
411.749	2.0	trials	go_tone	8000.0	80.0	411.749	0.1	False				False					nolight	0.0	nan	False		False	2.0
422.708	2.0	trials	nogo_tone	4000.0	80.0	422.708	0.1	False				False					nolight	0.0	nan	False		False	4.0
433.298	2.0	trials	go_tone	8000.0	80.0	433.298	0.1	True	5.0	434.298	0.01	True	100.0	12.0	433.698	434.248	delay	550.0	wM2	True	436.223	False	1.0
444.238	2.0	trials	no_tone					True	5.0	445.238	0.01	False					nolight	0.0	nan	False		False	5.0
455.77	2.0	trials	nogo_tone	4000.0	80.0	455.77	0.1	False				False					nolight	0.0	nan	False		False	4.0
467.079	2.0	trials	nogo_tone	4000.0	80.0	467.079	0.1	True	5.0	468.079	0.01	False					nolight	0.0	nan	False		False	3.0
478.399	2.0	trials	go_tone	8000.0	80.0	478.399	0.1	True	5.0	479.399	0.01	False					nolight	0.0	nan	True	481.275	False	1.0
489.219	2.0	trials	go_tone	8000.0	80.0	489.219	0.1	False				False					nolight	0.0	nan	False		False	2.0
500.541	2.0	trials	go_tone	8000.0	80.0	500.541	0.1	True	5.0	501.541	0.01	True	100.0	12.0	501.491	501.841	whisker	350.0	wM2	True	503.343	False	1.0
512.019	2.0	trials	no_tone					True	5.0	513.019	0.01	False					nolight	0.0	nan	True	514.84	False	5.0
522.92	2.0	trials	go_tone	8000.0	80.0	522.92	0.1	False				False					nolight	0.0	nan	True	524.9449999999999	True	2.0
534.95	2.0	trials	go_tone	8000.0	80.0	534.95	0.1	False				False					nolight	0.0	nan	False		False	2.0
546.231	2.0	trials	go_tone	8000.0	80.0	546.231	0.1	False				False					nolight	0.0	nan	False		False	2.0
557.14	2.0	trials	no_tone					True	5.0	558.14	0.01	True	100.0	12.0	558.09	558.4399999999999	whisker	350.0	wM2	False		False	5.0
568.601	2.0	trials	nogo_tone	4000.0	80.0	568.601	0.1	True	5.0	569.601	0.01	True	100.0	12.0	568.551	569.001	audio	450.0	wM2	False		False	3.0
579.98	2.0	trials	nogo_tone	4000.0	80.0	579.98	0.1	False				True	100.0	12.0	580.9300000000001	581.28	whisker	350.0	wM2	False		False	4.0
590.982	2.0	trials	go_tone	8000.0	80.0	590.982	0.1	True	5.0	591.982	0.01	False					nolight	0.0	nan	True	593.262	True	1.0
603.271	2.0	trials	go_tone	8000.0	80.0	603.271	0.1	True	5.0	604.271	0.01	False					nolight	0.0	nan	True	606.087	False	1.0
614.491	2.0	trials	no_tone					True	5.0	615.491	0.01	False					nolight	0.0	nan	True	617.205	False	5.0
625.181	2.0	trials	nogo_tone	4000.0	80.0	625.181	0.1	False				False					nolight	0.0	nan	False		False	4.0
636.621	2.0	trials	nogo_tone	4000.0	80.0	636.621	0.1	True	5.0	637.621	0.01	False					nolight	0.0	nan	False		False	3.0
647.691	2.0	trials	go_tone	8000.0	80.0	647.691	0.1	False				True	100.0	12.0	647.6410000000001	648.091	audio	450.0	wM2	False		False	2.0
659.044	2.0	trials	go_tone	8000.0	80.0	659.044	0.1	False				True	100.0	12.0	659.444	659.994	delay	550.0	wM2	False		False	2.0
670.323	2.0	trials	nogo_tone	4000.0	80.0	670.323	0.1	True	5.0	671.323	0.01	False					nolight	0.0	nan	False		False	3.0
681.322	2.0	trials	nogo_tone	4000.0	80.0	681.322	0.1	True	5.0	682.322	0.01	False					nolight	0.0	nan	False		False	3.0
691.993	2.0	trials	go_tone	8000.0	80.0	691.993	0.1	False				False					nolight	0.0	nan	True	695.09	False	2.0
702.774	2.0	trials	go_tone	8000.0	80.0	702.774	0.1	False				True	100.0	12.0	703.724	704.074	whisker	350.0	wM2	False		False	2.0
713.955	2.0	trials	nogo_tone	4000.0	80.0	713.955	0.1	True	5.0	714.955	0.01	False					nolight	0.0	nan	False		False	3.0
725.313	2.0	trials	go_tone	8000.0	80.0	725.313	0.1	False				False					nolight	0.0	nan	False		False	2.0
736.353	2.0	trials	go_tone	8000.0	80.0	736.353	0.1	True	5.0	737.353	0.01	True	100.0	12.0	737.303	737.6529999999999	whisker	350.0	wM2	True	739.313	False	1.0
747.704	2.0	trials	nogo_tone	4000.0	80.0	747.704	0.1	False				False					nolight	0.0	nan	False		False	4.0
759.024	2.0	trials	go_tone	8000.0	80.0	759.024	0.1	False				False					nolight	0.0	nan	True	761.71	False	2.0
933.357	2.0	trials	nogo_tone	4000.0	80.0	933.357	0.1	False				False					nolight	0.0	nan	False		False	4.0
944.33	2.0	trials	go_tone	8000.0	80.0	944.33	0.1	True	5.0	945.33	0.01	False					nolight	0.0	nan	True	946.9680000000001	False	1.0
955.089	2.0	trials	nogo_tone	4000.0	80.0	955.089	0.1	True	5.0	956.089	0.01	True	100.0	12.0	955.489	956.0390000000001	delay	550.0	wM2	True	957.875	False	3.0
966.65	2.0	trials	no_tone					True	5.0	967.65	0.01	True	100.0	12.0	966.6	967.05	audio	450.0	wM2	False		False	5.0
978.059	2.0	trials	go_tone	8000.0	80.0	978.059	0.1	True	5.0	979.059	0.01	False					nolight	0.0	nan	True	980.914	False	1.0
989.559	2.0	trials	no_tone					True	5.0	990.559	0.01	True	100.0	12.0	989.959	990.509	delay	550.0	wM2	False		False	5.0
1000.518	2.0	trials	nogo_tone	4000.0	80.0	1000.518	0.1	False				False					nolight	0.0	nan	False		False	4.0
1011.98	2.0	trials	no_tone					True	5.0	1012.98	0.01	False					nolight	0.0	nan	False		False	5.0
1023.223	2.0	trials	no_tone					True	5.0	1024.223	0.01	False					nolight	0.0	nan	False		False	5.0
1034.66	2.0	trials	go_tone	8000.0	80.0	1034.66	0.1	True	5.0	1035.66	0.01	False					nolight	0.0	nan	True	1037.596	False	1.0
