onset	duration	nwb_table	context	auditory_stim_frequency	auditory_stim_amplitude	auditory_stim_time	auditory_stim_duration	whisker_stim	whisker_stim_amplitude	whisker_stim_time	whisker_stim_duration	opto_stim	opto_stim_frequency	opto_stim_amplitude	opto_stim_start_time	opto_stim_stop_time	opto_window	opto_duration	opto_area	lick_flag	lick_time	early_lick	trial_type
12.966	2.0	trials	go_tone	8000.0	80.0	12.966	0.1	False				False					nolight	0.0	nan	True	15.251999999999999	True	2.0
25.267	2.0	trials	go_tone	8000.0	80.0	25.267	0.1	False				False					nolight	0.0	nan	False		False	2.0
36.432	2.0	trials	nogo_tone	4000.0	80.0	36.432	0.1	True	5.0	37.432	0.01	True	100.0	12.0	37.382000000000005	37.732	whisker	350.0	wS1	False		False	3.0
48.163	2.0	trials	nogo_tone	4000.0	80.0	48.163	0.1	False				False					nolight	0.0	nan	False		False	4.0
59.353	2.0	trials	no_tone					True	5.0	60.353	0.01	False					nolight	0.0	nan	False		False	5.0
70.423	2.0	trials	go_tone	8000.0	80.0	70.423	0.1	True	5.0	71.423	0.01	True	100.0	12.0	70.373	70.82300000000001	audio	450.0	wS1	True	73.052	False	1.0
81.653	2.0	trials	go_tone	8000.0	80.0	81.653	0.1	False				False					nolight	0.0	nan	True	83.578	True	2.0
93.583	2.0	trials	go_tone	8000.0	80.0	93.583	0.1	False				False					nolight	0.0	nan	True	96.118	True	2.0
106.123	2.0	trials	go_tone	8000.0	80.0	106.123	0.1	False				False					nolight	0.0	nan	False		False	2.0
117.173	2.0	trials	go_tone	8000.0	80.0	117.173	0.1	True	5.0	118.173	0.01	False					nolight	0.0	nan	True	120.255	False	1.0
128.554	2.0	trials	nogo_tone	4000.0	80.0	128.554	0.1	True	5.0	129.554	0.01	False					nolight	0.0	nan	False		False	3.0
140.061	2.0	trials	no_tone					True	5.0	141.061	0.01	False					nolight	0.0	nan	False		False	5.0
151.594	2.0	trials	nogo_tone	4000.0	80.0	151.594	0.1	False				False					nolight	0.0	nan	False		False	4.0
163.065	2.0	trials	go_tone	8000.0	80.0	163.065	0.1	True	5.0	164.065	0.01	False					nolight	0.0	nan	True	165.957	False	1.0
173.636	2.0	trials	nogo_tone	4000.0	80.0	173.636	0.1	True	5.0	174.636	0.01	False					nolight	0.0	nan	False		False	3.0
184.756	2.0	trials	go_tone	8000.0	80.0	184.756	0.1	False				False					nolight	0.0	nan	True	187.085	True	2.0
197.086	2.0	trials	go_tone	8000.0	80.0	197.086	0.1	False				False					nolight	0.0	nan	False		False	2.0
207.885	2.0	trials	go_tone	8000.0	80.0	207.885	0.1	True	5.0	208.885	0.01	True	100.0	12.0	208.83499999999998	209.185	whisker	350.0	wS1	False		False	1.0
218.485	2.0	trials	go_tone	8000.0	80.0	218.485	0.1	True	5.0	219.485	0.01	False					nolight	0.0	nan	True	221.109	False	1.0
229.886	2.0	trials	no_tone					True	5.0	230.886	0.01	True	100.0	12.0	230.286	230.83599999999998	delay	550.0	wS1	False		False	5.0
