onset	duration	nwb_table	context	auditory_stim_frequency	auditory_stim_amplitude	auditory_stim_time	auditory_stim_duration	whisker_stim	whisker_stim_amplitude	whisker_stim_time	whisker_stim_duration	opto_stim	opto_stim_frequency	opto_stim_amplitude	opto_stim_start_time	opto_stim_stop_time	opto_window	opto_duration	opto_area	lick_flag	lick_time	early_lick	trial_type
11.503	2.0	trials	go_tone	8000.0	80.0	11.503	0.1	False				True	100.0	12.0	12.453	12.803	whisker	350.0	wS1	True	11.827	True	2.0
21.833	2.0	trials	go_tone	8000.0	80.0	21.833	0.1	False				True	100.0	12.0	22.782999999999998	23.133	whisker	350.0	wS1	False		False	2.0
32.814	2.0	trials	go_tone	8000.0	80.0	32.814	0.1	True	5.0	33.814	0.01	False					nolight	0.0	nan	True	35.871	False	1.0
43.464	2.0	trials	nogo_tone	4000.0	80.0	43.464	0.1	True	5.0	44.464	0.01	False					nolight	0.0	nan	False		False	3.0
54.572	2.0	trials	nogo_tone	4000.0	80.0	54.572	0.1	True	5.0	55.572	0.01	True	100.0	12.0	55.522000000000006	55.872	whisker	350.0	wS1	False		False	3.0
65.522	2.0	trials	nogo_tone	4000.0	80.0	65.522	0.1	False				True	100.0	12.0	65.92200000000001	66.47200000000001	delay	550.0	wS1	False		False	4.0
76.642	2.0	trials	nogo_tone	4000.0	80.0	76.642	0.1	False				False					nolight	0.0	nan	False		False	4.0
87.373	2.0	trials	go_tone	8000.0	80.0	87.373	0.1	True	5.0	88.373	0.01	False					nolight	0.0	nan	True	90.42200000000001	False	1.0
98.075	2.0	trials	go_tone	8000.0	80.0	98.075	0.1	True	5.0	99.075	0.01	False					nolight	0.0	nan	True	100.24300000000001	True	1.0
110.244	2.0	trials	go_tone	8000.0	80.0	110.244	0.1	True	5.0	111.244	0.01	False					nolight	0.0	nan	True	113.264	False	1.0
121.715	2.0	trials	no_tone					True	5.0	122.715	0.01	False					nolight	0.0	nan	True	124.40100000000001	False	5.0
132.625	2.0	trials	no_tone					True	5.0	133.625	0.01	True	100.0	12.0	133.025	133.575	delay	550.0	wS1	False		False	5.0
143.604	2.0	trials	nogo_tone	4000.0	80.0	143.604	0.1	False				True	100.0	12.0	144.554	144.90400000000002	whisker	350.0	wS1	True	146.744	False	4.0
154.734	2.0	trials	no_tone					True	5.0	155.734	0.01	False					nolight	0.0	nan	True	157.428	False	5.0
165.556	2.0	trials	go_tone	8000.0	80.0	165.556	0.1	True	5.0	166.556	0.01	False					nolight	0.0	nan	True	168.58800000000002	False	1.0
177.004	2.0	trials	nogo_tone	4000.0	80.0	177.004	0.1	False				False					nolight	0.0	nan	False		False	4.0
187.804	2.0	trials	nogo_tone	4000.0	80.0	187.804	0.1	False				False					nolight	0.0	nan	False		False	4.0
199.246	2.0	trials	no_tone					True	5.0	200.246	0.01	True	100.0	12.0	199.196	199.64600000000002	audio	450.0	wS1	False		False	5.0
209.925	2.0	trials	nogo_tone	4000.0	80.0	209.925	0.1	False				False					nolight	0.0	nan	False		False	4.0
221.315	2.0	trials	go_tone	8000.0	80.0	221.315	0.1	False				False					nolight	0.0	nan	True	224.56799999999998	False	2.0
232.165	2.0	trials	nogo_tone	4000.0	80.0	232.165	0.1	True	5.0	233.165	0.01	False					nolight	0.0	nan	False		False	3.0
243.245	2.0	trials	go_tone	8000.0	80.0	243.245	0.1	True	5.0	244.245	0.01	False					nolight	0.0	nan	False		False	1.0
254.237	1.9999999999999716	trials	nogo_tone	4000.0	80.0	254.237	0.1	True	5.0	255.237	0.01	True	100.0	12.0	254.18699999999998	254.637	audio	450.0	wS1	False		False	3.0
265.605	2.0	trials	go_tone	8000.0	80.0	265.605	0.1	True	5.0	266.605	0.01	True	100.0	12.0	265.555	266.005	audio	450.0	wS1	True	268.028	True	1.0
278.036	2.0	trials	go_tone	8000.0	80.0	278.036	0.1	True	5.0	279.036	0.01	True	100.0	12.0	277.986	278.436	audio	450.0	wS1	True	280.956	False	1.0
289.016	2.0	trials	nogo_tone	4000.0	80.0	289.016	0.1	False				False					nolight	0.0	nan	False		False	4.0
300.377	2.0	trials	go_tone	8000.0	80.0	300.377	0.1	False				False					nolight	0.0	nan	False		False	2.0
