onset	duration	nwb_table	context	auditory_stim_frequency	auditory_stim_amplitude	auditory_stim_time	auditory_stim_duration	whisker_stim	whisker_stim_amplitude	whisker_stim_time	whisker_stim_duration	opto_stim	opto_stim_frequency	opto_stim_amplitude	opto_stim_start_time	opto_stim_stop_time	opto_window	opto_duration	opto_area	lick_flag	lick_time	early_lick	trial_type
11.508	2.0	trials	nogo_tone	4000.0	80.0	11.508	0.1	True	5.0	12.508	0.01	False					nolight	0.0	nan	False		False	3.0
23.059	2.0	trials	no_tone					True	5.0	24.059	0.01	False					nolight	0.0	nan	True	26.499000000000002	False	5.0
34.188	2.0	trials	no_tone					True	5.0	35.188	0.01	True	100.0	12.0	35.138000000000005	35.488	whisker	350.0	wM2	False		False	5.0
45.077	2.0	trials	go_tone	8000.0	80.0	45.077	0.1	True	5.0	46.077	0.01	False					nolight	0.0	nan	True	47.833999999999996	False	1.0
58.088	2.0	trials	no_tone					True	5.0	59.088	0.01	False					nolight	0.0	nan	True	60.827	False	5.0
69.148	2.0	trials	no_tone					True	5.0	70.148	0.01	False					nolight	0.0	nan	False		False	5.0
79.799	2.0	trials	go_tone	8000.0	80.0	79.799	0.1	False				False					nolight	0.0	nan	True	82.322	True	2.0
92.33	2.0	trials	go_tone	8000.0	80.0	92.33	0.1	False				False					nolight	0.0	nan	False		False	2.0
103.161	2.0	trials	no_tone					True	5.0	104.161	0.01	True	100.0	12.0	103.111	103.561	audio	450.0	wM2	True	105.94500000000001	False	5.0
114.719	2.0	trials	no_tone					True	5.0	115.719	0.01	False					nolight	0.0	nan	False		False	5.0
125.81	2.0	trials	go_tone	8000.0	80.0	125.81	0.1	True	5.0	126.81	0.01	False					nolight	0.0	nan	True	128.502	False	1.0
137.149	2.0	trials	go_tone	8000.0	80.0	137.149	0.1	True	5.0	138.149	0.01	True	100.0	12.0	137.549	138.099	delay	550.0	wM2	True	139.985	False	1.0
148.229	2.0	trials	go_tone	8000.0	80.0	148.229	0.1	False				False					nolight	0.0	nan	False		False	2.0
159.089	2.0	trials	go_tone	8000.0	80.0	159.089	0.1	True	5.0	160.089	0.01	False					nolight	0.0	nan	True	161.815	False	1.0
169.761	2.0	trials	go_tone	8000.0	80.0	169.761	0.1	False				False					nolight	0.0	nan	False		False	2.0
180.43	2.0	trials	nogo_tone	4000.0	80.0	180.43	0.1	False				False					nolight	0.0	nan	False		False	4.0
191.15	2.0	trials	go_tone	8000.0	80.0	191.15	0.1	False				True	100.0	12.0	191.1	191.55	audio	450.0	wM2	False		False	2.0
201.991	2.0	trials	go_tone	8000.0	80.0	201.991	0.1	True	5.0	202.991	0.01	False					nolight	0.0	nan	True	204.83700000000002	False	1.0
212.648	2.0	trials	nogo_tone	4000.0	80.0	212.648	0.1	True	5.0	213.648	0.01	False					nolight	0.0	nan	False		False	3.0
223.501	2.0	trials	nogo_tone	4000.0	80.0	223.501	0.1	False				False					nolight	0.0	nan	False		False	4.0
234.991	2.0	trials	nogo_tone	4000.0	80.0	234.991	0.1	True	5.0	235.991	0.01	True	100.0	12.0	235.39100000000002	235.941	delay	550.0	wM2	False		False	3.0
246.421	2.0	trials	go_tone	8000.0	80.0	246.421	0.1	True	5.0	247.421	0.01	True	100.0	12.0	246.37099999999998	246.821	audio	450.0	wM2	True	249.158	False	1.0
257.231	2.0	trials	no_tone					True	5.0	258.231	0.01	True	100.0	12.0	257.631	258.181	delay	550.0	wM2	True	260.153	False	5.0
268.152	2.0	trials	go_tone	8000.0	80.0	268.152	0.1	False				False					nolight	0.0	nan	False		False	2.0
279.412	2.0	trials	nogo_tone	4000.0	80.0	279.412	0.1	False				False					nolight	0.0	nan	False		False	4.0
290.354	2.0	trials	nogo_tone	4000.0	80.0	290.354	0.1	True	5.0	291.354	0.01	False					nolight	0.0	nan	True	293.229	False	3.0
301.352	2.0	trials	no_tone					True	5.0	302.352	0.01	False					nolight	0.0	nan	False		False	5.0
312.353	2.0	trials	nogo_tone	4000.0	80.0	312.353	0.1	True	5.0	313.353	0.01	True	100.0	12.0	313.303	313.653	whisker	350.0	wM2	False		False	3.0
323.337	2.0	trials	no_tone					True	5.0	324.337	0.01	False					nolight	0.0	nan	False		False	5.0
334.453	2.0	trials	nogo_tone	4000.0	80.0	334.453	0.1	False				True	100.0	12.0	335.40299999999996	335.753	whisker	350.0	wM2	False		False	4.0
345.165	2.0	trials	go_tone	8000.0	80.0	345.165	0.1	True	5.0	346.165	0.01	True	100.0	12.0	346.115	346.46500000000003	whisker	350.0	wM2	True	348.228	False	1.0
356.173	2.0	trials	go_tone	8000.0	80.0	356.173	0.1	True	5.0	357.173	0.01	False					nolight	0.0	nan	True	358.533	True	1.0
368.543	2.0	trials	go_tone	8000.0	80.0	368.543	0.1	True	5.0	369.543	0.01	False					nolight	0.0	nan	True	371.225	False	1.0
